Product Type: Litetrack LR
Product ID: 80384
Firmware Version: V8.99.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Cause of Fix
2020-07-13 4:26:10 PM,0.0000000,0.0000000,0.00,70,18.0,0,0,GPS Schedule
2020-07-13 4:30:57 PM,51.4140899,-114.3274450,1142.68,61,18.0,4.6,6,GPS Schedule
2020-07-13 4:32:25 PM,51.4139889,-114.3272299,1138.86,17,18.0,4.8,6,Proximity GPS Schedule
2020-07-13 4:35:02 PM,51.4145704,-114.3264566,1142.24,2,18.0,5.6,5,GPS Schedule
2020-07-13 4:40:05 PM,51.4141753,-114.3263516,1136.38,5,18.0,5,6,GPS Schedule
2020-07-13 4:45:03 PM,51.4140577,-114.3263732,1126.35,3,18.0,4.8,6,GPS Schedule
2020-07-13 4:50:00 PM,51.4139471,-114.3263283,1129.78,0,18.0,4.6,5,GPS Schedule
2020-07-13 4:55:02 PM,51.4143077,-114.3263644,1136.14,2,18.0,4.2,5,GPS Schedule
2020-07-13 5:00:00 PM,51.4144633,-114.3264370,1163.26,0,18.0,4,5,GPS Schedule
2020-07-13 5:05:04 PM,51.4136936,-114.3272633,1101.11,4,18.0,16.4,4,GPS Schedule
2020-07-13 5:11:06 PM,51.4141216,-114.3264171,1132.20,70,18.0,2.2,4,GPS Schedule
2020-07-13 5:16:03 PM,51.4140383,-114.3273393,1145.99,60,18.0,1.8,7,GPS Schedule
2020-07-13 5:20:12 PM,51.4141453,-114.3263445,1130.09,12,18.0,1.8,7,GPS Schedule
2020-07-13 5:25:00 PM,51.4139379,-114.3263633,1154.90,0,18.0,2,6,GPS Schedule
2020-07-13 5:30:01 PM,51.4140913,-114.3264146,1120.81,1,18.0,2.2,6,GPS Schedule
2020-07-13 5:35:02 PM,51.4141149,-114.3263267,1130.23,2,18.0,2.4,6,GPS Schedule
2020-07-13 5:40:01 PM,51.4142067,-114.3263491,1133.60,1,18.0,2.4,6,GPS Schedule
2020-07-13 5:45:03 PM,51.4141554,-114.3263432,1127.91,3,18.0,2.6,6,GPS Schedule
2020-07-13 5:50:00 PM,51.4142602,-114.3263161,1156.99,0,18.0,3,5,GPS Schedule
2020-07-13 5:55:01 PM,51.4141056,-114.3263816,1138.73,1,18.0,2.8,4,GPS Schedule
2020-07-13 6:00:35 PM,51.4148103,-114.3263321,1132.46,34,18.0,1,8,GPS Schedule
2020-07-13 6:05:00 PM,51.4143192,-114.3265595,1144.07,0,18.0,1,8,GPS Schedule
2020-07-13 6:10:02 PM,51.4139568,-114.3263794,1130.19,2,18.0,1,8,GPS Schedule
2020-07-13 6:15:01 PM,51.4141301,-114.3263086,1117.36,1,18.0,1.4,6,GPS Schedule
2020-07-13 6:20:01 PM,51.4141259,-114.3263529,1133.09,1,18.0,1.2,7,GPS Schedule
2020-07-13 6:25:00 PM,51.4139943,-114.3263875,1121.75,0,18.0,1.2,6,GPS Schedule
2020-07-13 6:30:01 PM,51.4141376,-114.3264049,1117.98,1,18.0,2,4,GPS Schedule
2020-07-13 6:36:09 PM,51.4140731,-114.3263766,1119.87,70,18.0,3.8,4,GPS Schedule
2020-07-13 6:41:10 PM,0.0000000,0.0000000,0.00,70,18.0,0,0,GPS Schedule
2020-07-13 6:46:10 PM,51.4141122,-114.3263136,1129.19,70,18.0,3.2,4,GPS Schedule
2020-07-13 6:51:06 PM,51.4150121,-114.3258289,0.28,70,18.0,2.8,3,GPS Schedule
2020-07-13 6:55:33 PM,51.4140607,-114.3264230,1122.25,30,18.0,2,5,GPS Schedule
2020-07-13 7:00:10 PM,51.4140981,-114.3263681,1117.65,10,18.0,1.8,5,GPS Schedule
2020-07-13 7:05:12 PM,51.4141554,-114.3263432,1127.91,12,18.0,1.8,5,GPS Schedule
2020-07-13 7:10:00 PM,51.4143394,-114.3264275,1082.16,0,18.0,1.6,5,GPS Schedule
2020-07-13 7:15:02 PM,51.4140277,-114.3264489,1099.59,2,18.0,1.8,4,GPS Schedule
2020-07-13 7:20:35 PM,51.4140627,-114.3263825,1116.96,35,18.0,1.6,5,GPS Schedule
2020-07-13 7:25:00 PM,51.4141398,-114.3264840,1087.08,0,18.0,1.8,5,GPS Schedule
2020-07-13 7:30:02 PM,51.4140920,-114.3263764,1177.04,2,18.0,1.8,5,GPS Schedule
2020-07-13 7:35:02 PM,51.4141578,-114.3263610,1123.86,2,18.0,1.8,5,GPS Schedule
