Start,Stop,Proximity,Session,RSSI
2020-08-05 17:56,2020-08-05 17:58,30382,133,-44
2020-08-05 18:09,2020-08-05 18:09,30387,0,-45
2020-08-05 18:13,2020-08-05 18:13,30382,0,-46
2020-08-05 18:14,2020-08-05 18:14,30387,36,-46
2020-08-05 18:14,2020-08-05 18:14,30382,39,-46
2020-08-05 18:16,2020-08-05 18:17,30387,106,-46
2020-08-05 18:16,2020-08-05 18:17,30382,103,-47
2020-08-05 18:21,2020-08-05 18:21,30382,0,-48
2020-08-05 19:02,2020-08-05 19:02,30387,0,-45
2020-08-05 19:03,2020-08-05 19:04,30387,94,-46
2020-08-05 19:03,2020-08-05 19:04,30382,97,-47
2020-08-05 19:12,2020-08-05 19:12,30387,0,-45
2020-08-05 19:28,2020-08-05 19:28,30387,0,-45
2020-08-05 19:29,2020-08-05 19:29,30387,24,-45
2020-08-05 19:29,2020-08-05 19:29,30382,24,-46
2020-08-05 19:47,2020-08-05 19:47,30382,0,-46
2020-08-05 19:58,2020-08-05 19:58,30382,0,-46
2020-08-05 20:06,2020-08-05 20:06,30387,0,-46
2020-08-05 20:21,2020-08-05 20:21,30387,0,-45
2020-08-05 20:28,2020-08-05 20:28,30382,0,-46
2020-08-05 20:28,2020-08-05 20:28,30382,0,-46
2020-08-05 20:28,2020-08-05 20:28,30382,0,-47
2020-08-05 21:01,2020-08-05 21:01,30387,0,-46
2020-08-06 0:02,2020-08-06 0:02,30382,0,-46
2020-08-06 0:04,2020-08-06 0:04,30382,0,-45
2020-08-06 0:04,2020-08-06 0:04,30387,0,-45
2020-08-06 0:13,2020-08-06 0:13,30382,0,-45
2020-08-06 0:16,2020-08-06 0:16,30382,0,-46
2020-08-06 0:17,2020-08-06 0:19,30382,109,-46
2020-08-06 0:17,2020-08-06 0:19,30387,97,-45
2020-08-06 0:22,2020-08-06 0:22,30387,0,-45
2020-08-06 0:31,2020-08-06 0:34,30387,182,-45
2020-08-06 0:31,2020-08-06 0:34,30382,178,-46
2020-08-06 0:36,2020-08-06 0:36,30387,0,-45
2020-08-06 0:37,2020-08-06 0:39,30382,150,-47
2020-08-06 0:37,2020-08-06 0:39,30387,142,-46
2020-08-06 0:41,2020-08-06 0:44,30387,217,-46
2020-08-06 0:41,2020-08-06 0:44,30382,224,-46
2020-08-06 0:46,2020-08-06 0:49,30387,215,-45
2020-08-06 0:46,2020-08-06 0:49,30382,223,-46
2020-08-06 0:51,2020-08-06 0:54,30387,218,-45
2020-08-06 0:51,2020-08-06 0:54,30382,220,-46
2020-08-06 1:31,2020-08-06 1:31,30387,0,-44
2020-08-06 1:32,2020-08-06 1:34,30387,151,-45
2020-08-06 1:32,2020-08-06 1:34,30382,154,-46
2020-08-06 1:36,2020-08-06 1:39,30387,218,-45
2020-08-06 1:36,2020-08-06 1:39,30382,223,-46
2020-08-06 1:41,2020-08-06 1:44,30387,193,-45
2020-08-06 1:41,2020-08-06 1:44,30382,190,-46
2020-08-06 2:49,2020-08-06 2:49,30382,0,-46
2020-08-06 2:51,2020-08-06 2:54,30387,223,-46
2020-08-06 2:51,2020-08-06 2:54,30382,220,-46
2020-08-06 2:56,2020-08-06 2:59,30387,217,-46
2020-08-06 2:56,2020-08-06 2:59,30382,223,-46
2020-08-06 3:01,2020-08-06 3:04,30387,211,-45
2020-08-06 3:01,2020-08-06 3:04,30382,224,-46
2020-08-06 3:06,2020-08-06 3:09,30387,215,-45
2020-08-06 3:06,2020-08-06 3:09,30382,211,-46
2020-08-06 3:39,2020-08-06 3:39,30382,0,-46
2020-08-06 3:42,2020-08-06 3:42,30387,0,-45
2020-08-06 3:42,2020-08-06 3:42,30387,0,-45
2020-08-06 3:43,2020-08-06 3:43,30382,0,-46
2020-08-06 3:44,2020-08-06 3:44,30387,0,-45
2020-08-06 3:46,2020-08-06 3:49,30387,217,-45
2020-08-06 3:46,2020-08-06 3:49,30382,224,-46
2020-08-06 3:51,2020-08-06 3:54,30387,218,-45
2020-08-06 3:51,2020-08-06 3:54,30382,223,-46
2020-08-06 3:56,2020-08-06 3:59,30387,222,-46
2020-08-06 3:56,2020-08-06 3:59,30382,224,-47
2020-08-06 4:01,2020-08-06 4:03,30387,145,-46
2020-08-06 4:01,2020-08-06 4:03,30382,142,-47
2020-08-06 4:04,2020-08-06 4:04,30387,24,-46
2020-08-06 4:04,2020-08-06 4:04,30382,18,-46
2020-08-06 4:04,2020-08-06 4:04,30387,0,-45
2020-08-06 4:08,2020-08-06 4:08,30382,0,-46
2020-08-06 4:26,2020-08-06 4:26,30387,0,-45
2020-08-06 4:26,2020-08-06 4:26,30387,0,-45
2020-08-06 4:26,2020-08-06 4:26,30387,0,-45
2020-08-06 5:24,2020-08-06 5:24,30382,0,-46
2020-08-06 5:26,2020-08-06 5:28,30387,116,-45
2020-08-06 5:26,2020-08-06 5:28,30382,109,-46
2020-08-06 5:36,2020-08-06 5:36,30387,0,-45
2020-08-06 5:48,2020-08-06 5:48,30387,0,-45
2020-08-06 6:09,2020-08-06 6:09,30387,0,-45
2020-08-06 6:16,2020-08-06 6:16,30382,0,-45
2020-08-06 8:18,2020-08-06 8:18,30382,0,-45
2020-08-06 8:44,2020-08-06 8:44,30387,0,-46
