"Date","Expected_Fixes","On_Time_Fix","No_fix","Early_Fix","Late_Fix","Avg_Speed_Day","Avg_Speed_Night","Out_of_Bounds","Percent_No_Fix_to_Total","Per_Missing__to_Expected_Fix"
"2020-07-13",183,175,5,0,0,NA,0.309362322107658,4,"2.85714285714286 %","4.37158469945355 %"
"2020-07-14",288,288,0,1,0,0.14535653928837,0.136235664523766,0,"0 %","-0.347222222222222 %"
"2020-07-15",288,284,1,1,0,0.136795727729861,0.184993304967205,1,"0.350877192982456 %","1.04166666666667 %"
"2020-07-16",288,289,0,0,0,0.0943074735256544,0.143106432816252,0,"0 %","-0.347222222222222 %"
"2020-07-17",288,288,0,0,0,0.0863018733805406,0.0886944953815407,0,"0 %","0 %"
"2020-07-18",288,280,3,1,1,0.0682017203880964,0.096579702412609,2,"1.06382978723404 %","2.08333333333333 %"
"2020-07-19",288,288,0,0,0,0.0920652082842425,0.141021344147287,0,"0 %","0 %"
"2020-07-20",288,281,3,0,1,0.0764019259039983,0.352574507006535,3,"1.06382978723404 %","2.08333333333333 %"
"2020-07-21",288,275,9,1,0,0.089386190199804,0.0772701034771553,4,"3.26086956521739 %","4.16666666666667 %"
"2020-07-22",288,237,41,2,0,0.0986594463479678,0.121267626855547,7,"17.1548117154812 %","17.0138888888889 %"
"2020-07-23",288,257,20,3,1,0.147707074816658,0.0973474890237856,5,"7.66283524904215 %","9.375 %"
"2020-07-24",288,270,12,0,0,0.0850315497530589,0.0956494374666378,6,"4.44444444444444 %","6.25 %"
"2020-07-25",288,269,11,0,0,0.075242828084547,0.0712426199271833,8,"4.08921933085502 %","6.59722222222222 %"
"2020-07-26",288,286,1,0,0,0.071396605223655,0.0934570778305917,1,"0.34965034965035 %","0.694444444444444 %"
"2020-07-27",288,269,11,0,0,0.0882455540157178,0.0904916060595694,8,"4.08921933085502 %","6.59722222222222 %"
"2020-07-28",288,286,0,0,0,0.0792208358178665,0.0825919613052388,0,"0 %","0.694444444444444 %"
"2020-07-29",288,250,29,0,0,0.265330534009606,0.346014352532058,9,"11.6 %","13.1944444444444 %"
"2020-07-30",288,0,285,0,0,NA,NA,0,"Inf %","100 %"
"2020-07-31",288,31,249,0,0,0.169170213705906,NA,8,"803.225806451613 %","89.2361111111111 %"
"2020-08-01",288,36,245,0,0,0.27168753850114,NA,5,"680.555555555556 %","87.5 %"
"2020-08-02",288,0,288,0,0,NA,NA,0,"Inf %","100 %"
"2020-08-03",288,0,7,0,0,NA,NA,0,"Inf %","100 %"
"2020-08-04",0,0,0,0,0,0,0,0,NA,NA
"2020-08-05",288,35,40,1,0,NA,0.246917670490854,5,"111.111111111111 %","87.5 %"
"2020-08-06",288,50,228,0,0,0.0876380247247948,NA,10,"456 %","82.6388888888889 %"
"2020-08-07",288,0,288,0,0,NA,NA,0,"Inf %","100 %"
"2020-08-08",288,0,286,0,0,NA,NA,0,"Inf %","100 %"
"2020-08-09",288,8,276,0,0,0.0481128128741771,NA,3,"3450 %","97.2222222222222 %"
"2020-08-10",288,3,282,0,0,0.448433607202204,NA,1,"9400 %","98.9583333333333 %"
"2020-08-11",288,0,287,0,0,NA,NA,0,"Inf %","100 %"
"2020-08-12",288,0,288,0,0,NA,NA,0,"Inf %","100 %"
"2020-08-13",288,0,148,0,0,NA,NA,0,"Inf %","100 %"
"2020-08-14",0,0,0,0,0,0,0,0,NA,NA
"2020-08-15",0,0,0,0,0,0,0,0,NA,NA
"2020-08-16",0,0,0,0,0,0,0,0,NA,NA
"2020-08-17",0,0,0,0,0,0,0,0,NA,NA
"2020-08-18",0,0,0,0,0,0,0,0,NA,NA
"2020-08-19",0,0,0,0,0,0,0,0,NA,NA
"2020-08-20",0,0,0,0,0,0,0,0,NA,NA
"2020-08-21",0,0,0,0,0,0,0,0,NA,NA
"2020-08-22",0,0,0,0,0,0,0,0,NA,NA
"2020-08-23",0,0,0,0,0,0,0,0,NA,NA
"2020-08-24",0,0,0,0,0,0,0,0,NA,NA
"2020-08-25",0,0,0,0,0,0,0,0,NA,NA
"2020-08-26",0,0,0,0,0,0,0,0,NA,NA
"2020-08-27",0,0,0,0,0,0,0,0,NA,NA
"2020-08-28",0,0,0,0,0,0,0,0,NA,NA
"2020-08-29",0,0,0,0,0,0,0,0,NA,NA
"2020-08-30",0,0,0,0,0,0,0,0,NA,NA
"2020-08-31",0,0,0,0,0,0,0,0,NA,NA
"2020-09-01",0,0,0,0,0,0,0,0,NA,NA
"2020-09-02",0,0,0,0,0,0,0,0,NA,NA
"2020-09-03",0,0,0,0,0,0,0,0,NA,NA
"2020-09-04",0,0,0,0,0,0,0,0,NA,NA
"2020-09-05",0,0,0,0,0,0,0,0,NA,NA
"2020-09-06",0,0,0,0,0,0,0,0,NA,NA
"2020-09-07",0,0,0,0,0,0,0,0,NA,NA
"2020-09-08",0,0,0,0,0,0,0,0,NA,NA
"2020-09-09",0,0,0,0,0,0,0,0,NA,NA
"2020-09-10",0,0,0,0,0,0,0,0,NA,NA
"2020-09-11",0,0,0,0,0,0,0,0,NA,NA
"2020-09-12",0,0,0,0,0,0,0,0,NA,NA
"2020-09-13",0,0,0,0,0,0,0,0,NA,NA
"2020-09-14",0,0,0,0,0,0,0,0,NA,NA
"2020-09-15",0,0,0,0,0,0,0,0,NA,NA
"2020-09-16",0,0,0,0,0,0,0,0,NA,NA
