"Date","Expected_Fixes","On_Time_Fix","No_fix","Early_Fix","Late_Fix","Avg_Speed_Day","Avg_Speed_Night","Out_of_Bounds","Percent_No_Fix_to_Total","Per_Missing__to_Expected_Fix"
"2020-09-06",288,288,0,0,0,0.09877087934888,0.0540865093945833,0,"0 %","0 %"
"2020-09-07",288,288,0,0,0,0.0977840657872209,0.0365470371247255,0,"0 %","0 %"
"2020-09-08",288,288,0,0,0,0.0793687510177703,0.0408042703548838,0,"0 %","0 %"
"2020-09-09",288,201,86,0,0,0.0813046775214773,0.085547640787582,1,"42.7860696517413 %","30.2083333333333 %"
"2020-09-10",288,183,103,0,0,0.191656765774145,0.0753990056465349,1,"56.2841530054645 %","36.4583333333333 %"
"2020-09-11",288,288,0,1,0,0.0920405894580832,0.0718999514290859,0,"0 %","-0.347222222222222 %"
"2020-09-12",288,285,0,1,1,0.0934185394483234,0.0489709438620038,0,"0 %","0.347222222222222 %"
"2020-09-13",288,288,0,0,0,0.0851615865000512,0.0424052586464713,0,"0 %","0 %"
"2020-09-14",288,235,46,0,0,0.346851421582308,0.0565627884611604,7,"19.5744680851064 %","18.4027777777778 %"
"2020-09-15",288,266,19,0,0,0.168976069013182,0.060298235260866,3,"7.14285714285714 %","7.63888888888889 %"
"2020-09-16",96,97,0,0,0,0.0647059542326869,NA,0,"0 %","-1.04166666666667 %"
