"ID","Per_Good_Fix_to_Exp","Per_No_Fix_to_Total","Per_Missing_Fix_to_Total","Per_Out_of_Bounds_Fix"
30378,0.937212753102699,0.0787064812430193,0.0754589393714101,0.0149235126958085
30380,NA,NA,NA,NA
30381,NA,NA,NA,NA
30382,NA,NA,NA,NA
30383,NA,0,0,NA
30385,0.866494643425403,0.201742633117699,0.137940477837738,0.00723869438269678
30386,NA,NA,NA,NA
30387,NA,NA,NA,NA
30388,NA,NA,NA,NA
30389,0.974546038870234,0.00874035712116566,0.195701754771877,0.00465273812828717
30390,0.996743195740527,0.00244756465662973,0.00520667198298777,0.00187327139139795
30391,0.964340388018719,0.0484460481060421,0.0429874016002065,0.00618858867484909
