type	time	latitude	longitude	altitude (m)	cadence	color	name	desc
T	2020-09-09 17:12:02	51.394355446	-114.334679330	1196.0	0.0	Cyan	09-SEP-20 12:05:47 PM	
T	2020-09-09 17:12:40	51.394350501	-114.333922192	1197.0	0.0			
T	2020-09-09 17:12:56	51.394352093	-114.333190368	1196.5	0.0			
T	2020-09-09 17:13:13	51.394342622	-114.332453515	1195.1	0.0			
T	2020-09-09 17:13:27	51.394356955	-114.331730995	1190.2	0.0			
T	2020-09-09 17:13:41	51.394358631	-114.330999171	1184.5	0.0			
T	2020-09-09 17:13:58	51.394354440	-114.330265084	1180.2	0.0			
T	2020-09-09 17:14:19	51.394739924	-114.330104403	1176.8	0.0			
T	2020-09-09 17:14:32	51.395193804	-114.330109097	1176.8	0.0			
T	2020-09-09 17:14:45	51.395650450	-114.330112366	1177.3	0.0			
T	2020-09-09 17:14:57	51.396156633	-114.330102308	1175.3	0.0			
T	2020-09-09 17:15:05	51.396631887	-114.330097027	1176.8	0.0			
T	2020-09-09 17:15:13	51.397107476	-114.330095854	1178.2	0.0			
T	2020-09-09 17:15:22	51.397590442	-114.330097027	1180.6	0.0			
T	2020-09-09 17:15:34	51.397941308	-114.330318980	1185.0	0.0			
T	2020-09-09 17:15:47	51.397941141	-114.331083829	1184.5	0.0			
T	2020-09-09 17:16:02	51.397940470	-114.331827974	1181.6	0.0			
T	2020-09-09 17:16:16	51.397931250	-114.332609586	1181.1	0.0			
T	2020-09-09 17:16:28	51.397928316	-114.333344009	1183.0	0.0			
T	2020-09-09 17:16:39	51.397921946	-114.334122604	1185.9	0.0			
T	2020-09-09 17:17:12	51.397913899	-114.334839089	1191.7	0.0			
T	2020-09-09 17:19:12	51.397944577	-114.334444804	1189.3	0.0			
T	2020-09-09 17:19:26	51.397938123	-114.333671741	1185.9	0.0			
T	2020-09-09 17:19:39	51.397940302	-114.332910497	1184.5	0.0			
T	2020-09-09 17:19:53	51.397952372	-114.332183115	1180.6	0.0			
T	2020-09-09 17:20:05	51.397968046	-114.331404520	1181.1	0.0			
T	2020-09-09 17:20:15	51.397973159	-114.330652664	1183.5	0.0			
T	2020-09-09 17:20:36	51.398124201	-114.330131561	1183.5	0.0			
T	2020-09-09 17:20:51	51.398582188	-114.330171794	1185.4	0.0			
T	2020-09-09 17:21:05	51.399056101	-114.330209009	1186.9	0.0			
T	2020-09-09 17:21:22	51.399524901	-114.330102475	1185.0	0.0			
T	2020-09-09 17:24:41	51.399948187	-114.330087807	1183.5	0.0			
T	2020-09-09 17:24:53	51.400408354	-114.330096440	1183.5	0.0			
T	2020-09-09 17:25:07	51.400876315	-114.330092836	1181.6	0.0			
T	2020-09-09 17:25:21	51.401335644	-114.330088310	1179.7	0.0			
T	2020-09-09 17:25:38	51.401613923	-114.330441942	1178.2	0.0			
T	2020-09-09 17:25:53	51.401612917	-114.331173850	1178.2	0.0			
T	2020-09-09 17:26:09	51.401608894	-114.331919923	1181.1	0.0			
T	2020-09-09 17:26:25	51.401614426	-114.332667338	1182.1	0.0			
T	2020-09-09 17:26:41	51.401610151	-114.333423805	1189.3	0.0			
T	2020-09-09 17:26:55	51.401613420	-114.334178846	1192.2	0.0			
T	2020-09-09 17:30:06	51.401637392	-114.333861843	1192.2	0.0			
T	2020-09-09 17:30:23	51.401635716	-114.333111160	1188.8	0.0			
T	2020-09-09 17:30:40	51.401630184	-114.332379000	1181.6	0.0			
T	2020-09-09 17:30:58	51.401630435	-114.331612224	1179.7	0.0			
T	2020-09-09 17:31:13	51.401630519	-114.330870258	1178.2	0.0			
T	2020-09-09 17:31:31	51.401626077	-114.330146899	1178.2	0.0			
T	2020-09-09 17:33:45	51.402240135	-114.330091160	1176.3	0.0			
T	2020-09-09 17:33:59	51.402724441	-114.330079090	1173.9	0.0			
T	2020-09-09 17:34:14	51.403206987	-114.330082359	1170.5	0.0			
T	2020-09-09 17:34:28	51.403673692	-114.330092333	1165.7	0.0			
T	2020-09-09 17:34:42	51.404149281	-114.330105996	1165.7	0.0			
T	2020-09-09 17:35:01	51.404541386	-114.330264414	1164.8	0.0			
T	2020-09-09 17:35:23	51.404551277	-114.331026580	1169.6	0.0			
T	2020-09-09 17:35:40	51.404552199	-114.331764523	1175.8	0.0			
T	2020-09-09 17:35:55	51.404552534	-114.332535574	1178.2	0.0			
T	2020-09-09 17:36:08	51.404549852	-114.333275026	1183.0	0.0			
T	2020-09-09 17:36:22	51.404553372	-114.334041215	1187.8	0.0			
T	2020-09-09 17:36:35	51.404549601	-114.334772201	1190.2	0.0			
T	2020-09-09 17:38:39	51.404573489	-114.334532898	1187.4	0.0			
T	2020-09-09 17:38:56	51.404565526	-114.333778611	1184.0	0.0			
T	2020-09-09 17:39:12	51.404574243	-114.333035052	1180.6	0.0			
T	2020-09-09 17:39:30	51.404571058	-114.332306916	1175.8	0.0			
T	2020-09-09 17:39:46	51.404564269	-114.331578529	1174.4	0.0			
T	2020-09-09 17:40:06	51.404562592	-114.330847124	1169.1	0.0			
T	2020-09-09 17:40:33	51.404620428	-114.330169950	1163.3	0.0			
T	2020-09-09 17:40:54	51.405090401	-114.330145475	1160.9	0.0			
T	2020-09-09 17:41:13	51.405550987	-114.330116473	1160.5	0.0			
T	2020-09-09 17:41:29	51.406012243	-114.330101386	1158.0	0.0			
T	2020-09-09 17:41:45	51.406480204	-114.330081521	1157.1	0.0			
T	2020-09-09 17:42:00	51.406965014	-114.330105241	1155.6	0.0			
T	2020-09-09 17:42:17	51.407421073	-114.330109097	1155.2	0.0			
T	2020-09-09 17:42:34	51.407873025	-114.330129716	1155.6	0.0			
T	2020-09-09 17:42:51	51.408326654	-114.330134829	1154.7	0.0			
T	2020-09-09 17:43:08	51.408797968	-114.330135416	1153.7	0.0			
T	2020-09-09 17:43:28	51.409113212	-114.330450073	1155.2	0.0			
T	2020-09-09 17:43:46	51.409111116	-114.331176113	1158.5	0.0			
T	2020-09-09 17:44:03	51.409117654	-114.331931742	1160.9	0.0			
T	2020-09-09 17:44:19	51.409127042	-114.332685443	1162.4	0.0			
T	2020-09-09 17:44:36	51.409126204	-114.333407460	1161.9	0.0			
T	2020-09-09 17:44:55	51.409129892	-114.334143307	1161.4	0.0			
T	2020-09-09 17:45:15	51.409128802	-114.334879741	1161.9	0.0			
T	2020-09-09 17:45:38	51.408853456	-114.335189788	1166.7	0.0			
T	2020-09-09 17:45:57	51.408394799	-114.335171515	1171.0	0.0			
T	2020-09-09 17:46:14	51.407919964	-114.335137904	1174.9	0.0			
T	2020-09-09 17:46:28	51.407462479	-114.335109405	1179.7	0.0			
T	2020-09-09 17:46:41	51.406981191	-114.335086439	1182.1	0.0			
T	2020-09-09 17:46:56	51.406523371	-114.335061545	1182.6	0.0			
T	2020-09-09 17:47:12	51.406063372	-114.335052827	1183.0	0.0			
T	2020-09-09 17:47:27	51.405601362	-114.335050732	1184.5	0.0			
T	2020-09-09 17:47:40	51.405123174	-114.335039835	1186.4	0.0			
T	2020-09-09 17:47:54	51.404654207	-114.335019635	1189.3	0.0			
T	2020-09-09 17:49:22	51.404329073	-114.335016115	1190.2	0.0			
T	2020-09-09 17:49:38	51.403843090	-114.335003626	1190.2	0.0			
T	2020-09-09 17:49:53	51.403360041	-114.334993232	1190.2	0.0			
T	2020-09-09 17:50:06	51.402900880	-114.334997926	1189.8	0.0			
T	2020-09-09 17:50:21	51.402425207	-114.334989460	1191.2	0.0			
T	2020-09-09 17:50:37	51.401950540	-114.334961129	1194.6	0.0			
T	2020-09-09 17:50:55	51.401630938	-114.334682850	1195.1	0.0			
T	2020-09-09 17:52:22	51.401620880	-114.334255876	1195.1	0.0			
T	2020-09-09 17:52:46	51.401599254	-114.334959118	1193.6	0.0			
T	2020-09-09 17:53:06	51.401148895	-114.335001279	1191.7	0.0			
T	2020-09-09 17:53:25	51.400671210	-114.335008068	1191.7	0.0			
T	2020-09-09 17:53:41	51.400214983	-114.335005637	1192.2	0.0			
T	2020-09-09 17:53:56	51.399724055	-114.335013265	1193.1	0.0			
T	2020-09-09 17:54:11	51.399266319	-114.335020473	1190.7	0.0			
T	2020-09-09 17:54:26	51.398799112	-114.335020809	1189.8	0.0			
T	2020-09-09 17:54:41	51.398333078	-114.335018881	1192.2	0.0			
T	2020-09-09 17:56:57	51.397987157	-114.334848560	1194.6	0.0			
T	2020-09-09 17:59:52	51.397794206	-114.334679078	1191.2	0.0			
T	2020-09-09 18:03:04	51.397848269	-114.334935481	1190.7	0.0			
T	2020-09-09 18:03:28	51.397399167	-114.334996501	1190.7	0.0			
T	2020-09-09 18:03:42	51.396926763	-114.335000021	1192.2	0.0			
T	2020-09-09 18:03:53	51.396440193	-114.334999099	1192.7	0.0			
T	2020-09-09 18:04:04	51.395953121	-114.334986946	1194.6	0.0			
