GMT,X,Y,Z,Temperature
2020-07-12 23:10,14,-6,-19,17.5
2020-07-12 23:10,19,1,-23,17.5
2020-07-12 23:10,16,3,-22,17.5
2020-07-12 23:10,14,9,-24,17.5
2020-07-12 23:10,-4,-9,-11,17.5
2020-07-12 23:10,13,3,-21,17.5
2020-07-12 23:10,4,-3,-19,17.5
2020-07-12 23:10,14,1,-21,17.5
2020-07-12 23:10,11,-1,-16,17.5
2020-07-12 23:10,18,1,-22,17.5
2020-07-12 23:11,10,-5,-24,17.5
2020-07-12 23:11,10,-9,-21,17.5
2020-07-12 23:11,12,-1,-33,17.5
2020-07-12 23:11,13,-11,-22,17.5
2020-07-12 23:11,12,-5,-21,17.5
2020-07-12 23:11,22,-8,-21,17.5
2020-07-12 23:11,17,-9,-18,17.5
2020-07-12 23:11,14,-6,-22,17.5
2020-07-12 23:11,14,-6,-14,17.5
2020-07-12 23:11,12,-7,-21,17.5
2020-07-12 23:11,18,-10,-13,17.5
2020-07-12 23:11,4,-8,-22,17.5
2020-07-12 23:11,21,-6,-21,17.5
2020-07-12 23:11,13,-4,-22,17.5
2020-07-12 23:11,20,-10,-19,17.5
2020-07-12 23:11,14,-5,-18,17.5
2020-07-12 23:11,19,-7,-24,17.5
2020-07-12 23:11,8,-2,-8,17.5
2020-07-12 23:11,9,-3,-20,17.5
2020-07-12 23:11,23,-5,-22,17.5
2020-07-12 23:11,18,-3,-23,17.5
2020-07-12 23:11,11,-5,-16,17.5
2020-07-12 23:11,6,2,-17,17.5
2020-07-12 23:11,21,-9,-22,17.5
2020-07-12 23:11,0,-6,-14,17.5
2020-07-12 23:11,36,-5,-29,17.5
2020-07-12 23:11,15,-3,-25,17.5
2020-07-12 23:11,13,-6,-31,17.5
2020-07-12 23:11,17,-5,-13,17.5
2020-07-12 23:11,12,-12,-24,17.5
2020-07-12 23:12,11,-2,-18,17.5
2020-07-12 23:12,14,-8,-26,17.5
2020-07-12 23:12,1,-2,-11,17.5
2020-07-12 23:12,20,1,-19,17.5
2020-07-12 23:12,16,-5,-21,17.5
2020-07-12 23:12,24,-3,-25,17.5
2020-07-12 23:12,13,-7,-13,17.5
2020-07-12 23:12,11,-5,-16,17.5
2020-07-12 23:12,23,-6,-27,17.5
2020-07-12 23:12,19,-7,-16,17.5
2020-07-12 23:12,9,-2,-20,17.5
2020-07-12 23:12,20,-4,-22,17.5
2020-07-12 23:12,9,-3,-20,17.5
2020-07-12 23:12,19,-8,-22,17.5
2020-07-12 23:12,15,-4,-22,17.5
2020-07-12 23:12,18,-10,-15,17.5
2020-07-12 23:12,23,-1,-20,17.5
2020-07-12 23:12,22,-9,-18,17.5
2020-07-12 23:12,14,-4,-17,17.5
2020-07-12 23:12,9,-3,-15,17.5
2020-07-12 23:12,1,-3,-16,17.5
2020-07-12 23:12,9,-5,-21,17.5
2020-07-12 23:12,14,3,-21,17.5
2020-07-12 23:12,12,-2,-15,17.5
2020-07-12 23:12,11,-9,-18,17.5
2020-07-12 23:12,9,-4,-13,17.5
2020-07-12 23:12,17,-7,-20,17.5
2020-07-12 23:12,15,-5,-21,17.5
2020-07-12 23:12,7,-9,-17,17.5
2020-07-12 23:12,22,-7,-24,17.5
2020-07-12 23:13,12,-5,-21,17.5
2020-07-12 23:13,7,-2,-16,17.5
2020-07-12 23:13,18,-2,-26,17.5
2020-07-12 23:13,19,-8,-27,17
2020-07-12 23:13,9,-1,-17,17
2020-07-12 23:13,16,-7,-24,17
2020-07-12 23:13,9,-5,-12,17
2020-07-12 23:13,15,-13,-24,17
2020-07-12 23:13,2,1,-9,17
2020-07-12 23:13,30,-5,-26,17
2020-07-12 23:13,9,-1,-26,17
2020-07-12 23:13,9,-1,-23,17.5
2020-07-12 23:13,17,-5,-20,17.5
2020-07-12 23:13,15,-3,-27,17.5
2020-07-12 23:13,22,-3,-24,17.5
2020-07-12 23:13,25,-7,-20,17.5
2020-07-12 23:13,9,-8,-18,17.5
2020-07-12 23:13,34,3,-25,17.5
2020-07-12 23:13,22,-5,-27,17.5
2020-07-12 23:13,14,-4,-20,17.5
2020-07-12 23:13,6,1,-19,17.5
2020-07-12 23:13,14,-7,-20,17.5
2020-07-12 23:13,9,-6,-23,17.5
2020-07-12 23:13,23,-5,-24,17.5
2020-07-12 23:13,23,-11,-15,17.5
2020-07-12 23:13,13,-8,-17,17.5
2020-07-12 23:13,16,-4,-18,17
2020-07-12 23:13,15,-11,-19,17
2020-07-12 23:13,6,-10,-20,17
2020-07-12 23:13,13,-2,-22,17
2020-07-12 23:14,16,-10,-32,17
2020-07-12 23:14,8,-7,-25,17
2020-07-12 23:14,16,-2,-19,17
2020-07-12 23:14,28,-7,-23,17
2020-07-12 23:14,6,-4,-16,17.5
2020-07-12 23:14,13,-4,-21,17.5
2020-07-12 23:14,6,-9,-19,17.5
2020-07-12 23:14,25,-3,-25,17.5
2020-07-12 23:14,2,-10,-12,17.5
2020-07-12 23:14,11,-11,-20,17.5
2020-07-12 23:14,15,-9,-29,17.5
2020-07-12 23:14,19,-5,-17,17.5
2020-07-12 23:14,12,-6,-22,17
2020-07-12 23:14,23,-6,-20,17
2020-07-12 23:14,10,2,-22,17
2020-07-12 23:14,8,-2,-20,17
2020-07-12 23:14,12,-6,-21,17
2020-07-12 23:14,14,0,-17,17
2020-07-12 23:14,11,-3,-17,17
2020-07-12 23:14,33,-6,-28,17
2020-07-12 23:14,18,-1,-21,17
2020-07-12 23:14,12,-4,-24,17
2020-07-12 23:14,13,-6,-22,17
2020-07-12 23:14,12,-8,-17,17
2020-07-12 23:14,12,-4,-12,17
2020-07-12 23:14,31,-4,-23,17
2020-07-12 23:14,8,-2,-20,17
2020-07-12 23:14,23,-6,-27,17
2020-07-12 23:14,8,-3,-25,17
2020-07-12 23:14,14,-8,-22,17
2020-07-12 23:15,7,-5,-21,17
2020-07-12 23:15,13,-8,-22,17
2020-07-12 23:15,10,-6,-21,17
2020-07-12 23:15,26,-6,-26,17
2020-07-12 23:15,15,-2,-19,17
2020-07-12 23:15,7,-2,-17,17.5
2020-07-12 23:15,15,-6,-22,17.5
2020-07-12 23:15,10,-5,-21,17.5
2020-07-12 23:15,15,0,-24,17.5
2020-07-12 23:15,6,-11,-19,17.5
2020-07-12 23:15,8,-7,-22,17.5
2020-07-12 23:15,13,-6,-20,17.5
2020-07-12 23:15,9,-6,-22,17.5
2020-07-12 23:15,9,-7,-24,17.5
2020-07-12 23:15,12,-15,-16,17.5
2020-07-12 23:15,13,-5,-27,17.5
2020-07-12 23:15,3,-8,-23,17.5
2020-07-12 23:15,7,-10,-23,17.5
2020-07-12 23:15,7,-5,-22,17.5
2020-07-12 23:15,3,-5,-16,17.5
2020-07-12 23:15,9,-13,-20,17
2020-07-12 23:15,9,-5,-28,17
2020-07-12 23:15,6,-10,-20,17
2020-07-12 23:15,8,-11,-23,17
2020-07-12 23:15,12,-5,-29,17
2020-07-12 23:15,12,1,-12,17
2020-07-12 23:15,7,-6,-20,17
2020-07-12 23:15,4,-15,-25,17
2020-07-12 23:15,8,-10,-20,17
2020-07-12 23:15,7,-7,-20,17
2020-07-12 23:16,14,-7,-20,17
2020-07-12 23:16,10,-8,-19,17
2020-07-12 23:16,13,-11,-19,17
2020-07-12 23:16,7,2,-17,17
2020-07-12 23:16,7,-1,-24,17
2020-07-12 23:16,-9,0,-19,17
2020-07-12 23:16,4,9,-23,17
2020-07-12 23:16,-18,-1,-8,17
2020-07-12 23:16,7,12,-23,17
2020-07-12 23:16,10,-1,-20,17
2020-07-12 23:16,8,-10,-22,17
2020-07-12 23:16,7,-13,-22,17
2020-07-12 23:16,7,-8,-22,17
2020-07-12 23:16,11,-5,-22,17
2020-07-12 23:16,16,-5,-17,17
2020-07-12 23:16,13,-7,-18,17
2020-07-12 23:16,7,-1,-14,17
2020-07-12 23:16,16,-5,-21,17
2020-07-12 23:16,9,-6,-20,17
2020-07-12 23:16,28,-9,-25,17
2020-07-12 23:16,20,-5,-20,17
2020-07-12 23:16,32,-3,-23,17
2020-07-12 23:16,17,-9,-25,17
