GMT,X,Y,Z,Temperature
2023-11-25 11:29,-4,3,-24,11.5
2023-11-25 11:29,-4,3,-23,11.5
2023-11-25 11:29,-3,0,-23,11.5
2023-11-25 11:29,-4,5,-23,11.5
2023-11-25 11:29,-4,1,-23,11.5
2023-11-25 11:29,-5,5,-24,11.5
2023-11-25 11:29,-4,1,-22,11.5
2023-11-25 11:29,-3,3,-23,11.5
2023-11-25 11:29,-1,1,-22,11.5
2023-11-25 11:29,-5,6,-21,11.5
2023-11-25 11:29,-6,4,-21,11.5
2023-11-25 11:29,-3,4,-22,11.5
2023-11-25 11:29,-5,4,-29,11.5
2023-11-25 11:29,-4,5,-22,11.5
2023-11-25 11:29,-5,3,-22,11.5
2023-11-25 11:29,-2,1,-23,11.5
2023-11-25 11:29,-5,3,-22,11.5
2023-11-25 11:29,-3,4,-23,11.5
2023-11-25 11:29,-3,4,-23,11.5
2023-11-25 11:29,-5,2,-22,11.5
2023-11-25 11:29,-5,5,-21,11.5
2023-11-25 11:30,-3,3,-23,11.5
2023-11-25 11:30,-3,1,-23,11.5
2023-11-25 11:30,-4,5,-25,11.5
2023-11-25 11:30,-2,2,-23,11.5
2023-11-25 11:30,-4,5,-23,11.5
2023-11-25 11:30,-5,2,-22,11.5
2023-11-25 11:30,-6,7,-22,11.5
2023-11-25 11:30,-2,1,-24,11.5
2023-11-25 11:30,-3,3,-23,11.5
2023-11-25 11:30,-1,3,-23,11.5
2023-11-25 11:30,-3,3,-22,11
2023-11-25 11:30,-3,5,-22,11
2023-11-25 11:30,-3,2,-22,11
2023-11-25 11:30,-5,4,-22,11
2023-11-25 11:30,-4,6,-22,11
2023-11-25 11:30,-4,4,-22,11
2023-11-25 11:30,-2,2,-23,11
2023-11-25 11:30,-2,4,-22,11
2023-11-25 11:30,-5,2,-22,11.5
2023-11-25 11:30,-2,5,-23,11.5
2023-11-25 11:30,-5,3,-13,11.5
2023-11-25 11:30,-4,3,-23,11.5
2023-11-25 11:30,-4,3,-23,11.5
2023-11-25 11:30,-2,2,-22,11.5
2023-11-25 11:30,-2,4,-23,11.5
