Product Type: Litetrack LR
Product ID: 80378
Firmware Version: V8.99.0

Start Time [GMT],Stop Time [GMT],Proximity ID,Session Time [s],Average RSSI [dBm]
2020-07-14 1:09:47 AM,2020-07-14 1:27:50 AM,30388,1083,-77
2020-07-14 1:16:10 AM,2020-07-14 1:27:35 AM,30382,685,-78
2020-07-14 1:27:56 AM,2020-07-14 1:28:29 AM,30384,33,2
2020-07-14 1:29:44 AM,2020-07-14 1:30:13 AM,30389,29,52
2020-07-14 1:29:11 AM,2020-07-14 1:31:10 AM,30388,119,-64
2020-07-14 1:32:13 AM,2020-07-14 1:32:30 AM,30388,17,45
2020-07-14 1:31:41 AM,2020-07-14 1:32:35 AM,30385,54,-33
2020-07-14 1:32:03 AM,2020-07-14 1:32:39 AM,30389,36,4
2020-07-14 1:33:09 AM,2020-07-14 1:34:55 AM,30380,106,-46
2020-07-14 1:34:26 AM,2020-07-14 1:34:56 AM,30385,30,-19
2020-07-14 1:34:32 AM,2020-07-14 1:34:47 AM,30388,15,4
2020-07-14 1:37:22 AM,2020-07-14 1:39:11 AM,30388,109,-68
2020-07-14 1:37:23 AM,2020-07-14 1:39:57 AM,30380,154,-61
2020-07-14 1:37:23 AM,2020-07-14 1:40:53 AM,30382,210,-71
2020-07-14 1:40:15 AM,2020-07-14 1:40:43 AM,30389,28,55
2020-07-14 1:41:35 AM,2020-07-14 1:41:35 AM,30388,0,-83
2020-07-14 1:42:20 AM,2020-07-14 1:44:55 AM,30380,155,-70
2020-07-14 1:47:20 AM,2020-07-14 1:49:03 AM,30380,103,-61
2020-07-14 2:11:37 AM,2020-07-14 2:11:49 AM,30382,12,43
2020-07-14 2:20:16 AM,2020-07-14 2:22:30 AM,30381,134,-69
2020-07-14 2:29:39 AM,2020-07-14 2:29:45 AM,30388,6,3
2020-07-14 2:27:02 AM,2020-07-14 2:34:39 AM,30381,457,-79
2020-07-14 2:35:40 AM,2020-07-14 2:36:16 AM,30388,36,-54
2020-07-14 2:35:42 AM,2020-07-14 2:38:01 AM,30386,139,-63
2020-07-14 2:38:04 AM,2020-07-14 2:38:04 AM,30387,0,-87
2020-07-14 2:36:47 AM,2020-07-14 2:38:27 AM,30384,100,-60
2020-07-14 2:36:16 AM,2020-07-14 2:39:42 AM,30391,206,-71
2020-07-14 2:41:44 AM,2020-07-14 2:41:44 AM,30387,0,-83
2020-07-14 2:41:15 AM,2020-07-14 2:41:45 AM,30391,30,-33
2020-07-14 2:37:43 AM,2020-07-14 2:42:34 AM,30388,291,-71
2020-07-14 2:42:44 AM,2020-07-14 2:42:57 AM,30384,13,-17
2020-07-14 2:43:15 AM,2020-07-14 2:43:46 AM,30391,31,4
2020-07-14 2:43:02 AM,2020-07-14 2:44:00 AM,30387,58,-63
2020-07-14 2:44:48 AM,2020-07-14 2:45:11 AM,30381,23,43
2020-07-14 2:46:09 AM,2020-07-14 2:46:15 AM,30391,6,46
2020-07-14 2:47:33 AM,2020-07-14 2:47:33 AM,30391,0,-85
2020-07-14 2:49:45 AM,2020-07-14 2:49:57 AM,30380,12,-33
2020-07-14 2:51:39 AM,2020-07-14 2:51:39 AM,30391,0,-84
2020-07-14 2:47:08 AM,2020-07-14 2:51:50 AM,30384,282,-72
2020-07-14 2:50:05 AM,2020-07-14 2:52:56 AM,30385,171,-71
2020-07-14 2:53:37 AM,2020-07-14 2:54:53 AM,30380,76,-66
2020-07-14 2:56:25 AM,2020-07-14 2:58:28 AM,30385,123,-64
2020-07-14 2:57:38 AM,2020-07-14 2:58:29 AM,30380,51,-51
2020-07-14 3:06:52 AM,2020-07-14 3:08:16 AM,30381,84,-64
2020-07-14 3:14:51 AM,2020-07-14 3:14:57 AM,30380,6,7
2020-07-14 3:14:51 AM,2020-07-14 3:14:54 AM,30387,3,48
2020-07-14 3:16:50 AM,2020-07-14 3:17:44 AM,30380,54,-59
2020-07-14 3:17:24 AM,2020-07-14 3:17:27 AM,30388,3,48
2020-07-14 3:19:10 AM,2020-07-14 3:19:10 AM,30380,0,-87
2020-07-14 3:49:57 AM,2020-07-14 3:49:57 AM,30390,0,-81
2020-07-14 3:49:24 AM,2020-07-14 3:50:57 AM,30386,93,-48
2020-07-14 3:53:21 AM,2020-07-14 3:54:40 AM,30386,79,-61
2020-07-14 3:58:39 AM,2020-07-14 4:01:34 AM,30390,175,-67
2020-07-14 3:59:55 AM,2020-07-14 4:03:07 AM,30384,192,-69
2020-07-14 4:03:30 AM,2020-07-14 4:04:06 AM,30388,36,-28
2020-07-14 4:05:24 AM,2020-07-14 4:05:55 AM,30389,31,-39
2020-07-14 4:05:11 AM,2020-07-14 4:11:47 AM,30385,396,-76
2020-07-14 4:12:19 AM,2020-07-14 4:12:19 AM,30387,0,-87
2020-07-14 4:12:53 AM,2020-07-14 4:14:38 AM,30385,105,-69
2020-07-14 4:14:32 AM,2020-07-14 4:14:50 AM,30387,18,-46
2020-07-14 4:18:33 AM,2020-07-14 4:18:51 AM,30390,18,47
2020-07-14 4:16:30 AM,2020-07-14 4:19:38 AM,30387,188,-63
2020-07-14 4:17:31 AM,2020-07-14 4:19:37 AM,30386,126,-61
2020-07-14 4:18:20 AM,2020-07-14 4:19:23 AM,30385,63,-62
2020-07-14 4:18:41 AM,2020-07-14 4:19:39 AM,30384,58,-58
2020-07-14 4:19:13 AM,2020-07-14 4:19:28 AM,30388,15,-29
2020-07-14 4:25:06 AM,2020-07-14 4:25:24 AM,30381,18,-39
2020-07-14 4:25:12 AM,2020-07-14 4:29:23 AM,30382,251,-68
2020-07-14 4:33:44 AM,2020-07-14 4:35:52 AM,30381,128,-71
2020-07-14 4:36:32 AM,2020-07-14 4:36:32 AM,30380,0,-84
2020-07-14 4:39:13 AM,2020-07-14 4:39:34 AM,30381,21,-32
2020-07-14 4:55:10 AM,2020-07-14 4:55:58 AM,30382,48,-47
2020-07-14 4:58:47 AM,2020-07-14 5:00:17 AM,30382,90,-66
2020-07-14 5:05:28 AM,2020-07-14 5:05:28 AM,30382,0,-84
2020-07-14 5:06:17 AM,2020-07-14 5:07:23 AM,30380,66,-65
2020-07-14 5:07:29 AM,2020-07-14 5:09:33 AM,30381,124,-69
2020-07-14 5:09:46 AM,2020-07-14 5:09:58 AM,30380,12,-31
2020-07-14 5:11:37 AM,2020-07-14 5:14:13 AM,30382,156,-73
2020-07-14 5:28:19 AM,2020-07-14 5:28:19 AM,30384,0,-83
2020-07-14 5:30:42 AM,2020-07-14 5:30:48 AM,30384,6,8
2020-07-14 5:22:56 AM,2020-07-14 5:33:47 AM,30382,651,-76
2020-07-14 5:38:24 AM,2020-07-14 5:40:14 AM,30382,110,-48
2020-07-14 5:42:51 AM,2020-07-14 5:44:19 AM,30382,88,-62
2020-07-14 5:46:32 AM,2020-07-14 5:46:32 AM,30382,0,-82
2020-07-14 5:53:13 AM,2020-07-14 5:53:13 AM,30382,0,-84
2020-07-14 5:54:31 AM,2020-07-14 5:54:31 AM,30391,0,-82
2020-07-14 5:54:35 AM,2020-07-14 5:54:35 AM,30382,0,-86
2020-07-14 5:55:40 AM,2020-07-14 5:55:49 AM,30391,9,42
2020-07-14 5:57:16 AM,2020-07-14 5:58:19 AM,30391,63,-53
2020-07-14 5:58:26 AM,2020-07-14 5:59:38 AM,30382,72,-21
2020-07-14 6:00:42 AM,2020-07-14 6:02:51 AM,30391,129,-57
2020-07-14 6:02:59 AM,2020-07-14 6:03:44 AM,30382,45,-34
2020-07-14 6:04:50 AM,2020-07-14 6:04:50 AM,30382,0,-88
2020-07-14 6:05:52 AM,2020-07-14 6:05:52 AM,30382,0,-87
2020-07-14 6:08:50 AM,2020-07-14 6:08:50 AM,30382,0,-83
2020-07-14 6:07:43 AM,2020-07-14 6:09:10 AM,30391,87,-55
2020-07-14 7:39:35 AM,2020-07-14 7:39:35 AM,30381,0,-85
2020-07-14 7:41:19 AM,2020-07-14 7:41:19 AM,30381,0,-87
2020-07-14 7:43:05 AM,2020-07-14 7:44:58 AM,30380,113,-71
2020-07-14 7:46:13 AM,2020-07-14 7:49:17 AM,30380,184,-72
2020-07-14 7:53:52 AM,2020-07-14 7:54:58 AM,30380,66,-67
2020-07-14 7:56:17 AM,2020-07-14 7:59:56 AM,30380,219,-73
2020-07-14 8:01:13 AM,2020-07-14 8:04:45 AM,30380,212,-73
2020-07-14 8:07:14 AM,2020-07-14 8:07:59 AM,30380,45,-64
2020-07-14 7:43:09 AM,2020-07-14 8:18:50 AM,30382,2141,-79
2020-07-14 8:20:10 AM,2020-07-14 8:22:35 AM,30382,145,-60
2020-07-14 8:23:41 AM,2020-07-14 9:12:11 AM,30382,2910,-81
2020-07-14 9:17:37 AM,2020-07-14 9:17:37 AM,30380,0,-88
2020-07-14 9:19:01 AM,2020-07-14 9:19:04 AM,30382,3,44
2020-07-14 9:20:40 AM,2020-07-14 9:20:40 AM,30382,0,-85
2020-07-14 11:25:48 AM,2020-07-14 11:25:48 AM,30388,0,-83
2020-07-14 11:29:09 AM,2020-07-14 11:29:27 AM,30382,18,-31
2020-07-14 11:29:17 AM,2020-07-14 11:29:20 AM,30380,3,44
2020-07-14 11:32:20 AM,2020-07-14 11:32:20 AM,30384,0,-85
2020-07-14 11:32:23 AM,2020-07-14 11:33:35 AM,30381,72,-67
2020-07-14 11:32:56 AM,2020-07-14 11:32:56 AM,30386,0,-84
2020-07-14 11:36:55 AM,2020-07-14 11:38:15 AM,30391,80,-60
2020-07-14 11:42:05 AM,2020-07-14 11:42:05 AM,30386,0,-84
2020-07-14 11:49:05 AM,2020-07-14 11:49:32 AM,30391,27,-33
2020-07-14 11:49:32 AM,2020-07-14 11:49:32 AM,30388,0,-84
2020-07-14 11:56:13 AM,2020-07-14 11:56:25 AM,30385,12,-22
2020-07-14 12:00:23 PM,2020-07-14 12:06:59 PM,30389,396,-68
2020-07-14 12:37:05 PM,2020-07-14 12:37:05 PM,30384,0,-76
2020-07-14 12:39:56 PM,2020-07-14 12:39:56 PM,30384,0,-66
2020-07-14 12:42:05 PM,2020-07-14 12:42:05 PM,30384,0,-83
2020-07-14 12:37:42 PM,2020-07-14 12:44:10 PM,30381,388,-70
2020-07-14 12:53:19 PM,2020-07-14 12:53:19 PM,30384,0,-79
2020-07-14 12:55:44 PM,2020-07-14 12:55:53 PM,30389,9,44
2020-07-14 12:57:58 PM,2020-07-14 12:57:58 PM,30381,0,-83
2020-07-14 12:57:41 PM,2020-07-14 12:59:57 PM,30380,136,-69
2020-07-14 12:59:38 PM,2020-07-14 1:00:14 PM,30389,36,-56
2020-07-14 12:59:23 PM,2020-07-14 1:00:50 PM,30381,87,-39
2020-07-14 1:02:22 PM,2020-07-14 1:03:16 PM,30381,54,-20
2020-07-14 1:01:16 PM,2020-07-14 1:03:44 PM,30380,148,-69
2020-07-14 1:01:23 PM,2020-07-14 1:06:53 PM,30389,330,-67
2020-07-14 1:07:42 PM,2020-07-14 1:07:51 PM,30380,9,-17
2020-07-14 1:07:59 PM,2020-07-14 1:09:30 PM,30389,91,-64
2020-07-14 1:11:29 PM,2020-07-14 1:11:29 PM,30380,0,-83
2020-07-14 1:12:26 PM,2020-07-14 1:12:59 PM,30389,33,-43
2020-07-14 1:13:16 PM,2020-07-14 1:13:56 PM,30387,40,-38
2020-07-14 1:13:49 PM,2020-07-14 1:14:13 PM,30385,24,-24
2020-07-14 1:14:18 PM,2020-07-14 1:14:18 PM,30389,0,-84
2020-07-14 1:14:35 PM,2020-07-14 1:16:26 PM,30382,111,-64
2020-07-14 1:18:14 PM,2020-07-14 1:19:11 PM,30385,57,-55
2020-07-14 1:20:15 PM,2020-07-14 1:20:24 PM,30389,9,45
2020-07-14 1:22:04 PM,2020-07-14 1:23:38 PM,30380,94,-62
2020-07-14 1:23:54 PM,2020-07-14 1:24:57 PM,30385,63,-52
2020-07-14 1:27:02 PM,2020-07-14 1:27:53 PM,30380,51,-18
2020-07-14 1:28:49 PM,2020-07-14 1:29:04 PM,30390,15,-18
2020-07-14 1:26:57 PM,2020-07-14 1:29:35 PM,30385,158,-61
2020-07-14 1:29:30 PM,2020-07-14 1:29:58 PM,30380,28,-38
2020-07-14 1:30:52 PM,2020-07-14 1:30:52 PM,30387,0,-84
2020-07-14 1:30:42 PM,2020-07-14 1:30:58 PM,30381,16,-14
2020-07-14 1:30:24 PM,2020-07-14 1:31:16 PM,30390,52,-34
2020-07-14 1:30:41 PM,2020-07-14 1:31:05 PM,30389,24,-40
2020-07-14 1:31:11 PM,2020-07-14 1:31:11 PM,30385,0,-85
2020-07-14 1:31:14 PM,2020-07-14 1:31:53 PM,30391,39,46
2020-07-14 1:31:06 PM,2020-07-14 1:31:57 PM,30386,51,-46
2020-07-14 1:31:23 PM,2020-07-14 1:32:02 PM,30384,39,-17
2020-07-14 1:32:01 PM,2020-07-14 1:32:04 PM,30381,3,46
2020-07-14 1:32:45 PM,2020-07-14 1:33:12 PM,30385,27,-36
2020-07-14 1:32:59 PM,2020-07-14 1:33:11 PM,30390,12,49
2020-07-14 1:33:00 PM,2020-07-14 1:34:49 PM,30389,109,-46
2020-07-14 1:33:06 PM,2020-07-14 1:34:51 PM,30380,105,-50
2020-07-14 1:35:18 PM,2020-07-14 1:35:18 PM,30390,0,-82
2020-07-14 1:35:56 PM,2020-07-14 1:36:20 PM,30385,24,-41
2020-07-14 1:39:08 PM,2020-07-14 1:39:23 PM,30380,15,43
2020-07-14 1:40:38 PM,2020-07-14 1:40:38 PM,30389,0,-72
2020-07-14 1:44:56 PM,2020-07-14 1:44:56 PM,30380,0,-83
2020-07-14 1:48:41 PM,2020-07-14 1:48:41 PM,30380,0,-83
2020-07-14 1:43:37 PM,2020-07-14 1:49:56 PM,30390,379,-68
2020-07-14 1:44:18 PM,2020-07-14 1:49:55 PM,30389,337,-73
2020-07-14 1:44:23 PM,2020-07-14 1:49:55 PM,30385,332,-74
2020-07-14 1:49:42 PM,2020-07-14 1:49:42 PM,30380,0,-88
2020-07-14 1:51:19 PM,2020-07-14 1:52:47 PM,30389,88,-61
2020-07-14 1:53:53 PM,2020-07-14 1:53:53 PM,30380,0,-83
2020-07-14 1:51:12 PM,2020-07-14 1:54:58 PM,30390,226,-68
2020-07-14 1:51:13 PM,2020-07-14 1:54:29 PM,30385,196,-73
2020-07-14 1:53:51 PM,2020-07-14 1:54:39 PM,30389,48,-46
2020-07-14 1:56:14 PM,2020-07-14 1:56:20 PM,30385,6,3
2020-07-14 1:56:15 PM,2020-07-14 1:56:15 PM,30390,0,-81
2020-07-14 1:57:27 PM,2020-07-14 1:57:27 PM,30390,0,-84
2020-07-14 1:58:30 PM,2020-07-14 1:58:30 PM,30390,0,-85
2020-07-14 2:02:33 PM,2020-07-14 2:02:42 PM,30385,9,4
2020-07-14 2:06:50 PM,2020-07-14 2:07:05 PM,30389,15,2
2020-07-14 2:07:28 PM,2020-07-14 2:07:28 PM,30390,0,-79
2020-07-14 2:08:22 PM,2020-07-14 2:09:13 PM,30389,51,46
2020-07-14 2:10:44 PM,2020-07-14 2:10:44 PM,30389,0,-83
2020-07-14 2:11:13 PM,2020-07-14 2:11:58 PM,30380,45,43
2020-07-14 2:11:34 PM,2020-07-14 2:13:08 PM,30385,94,-38
2020-07-14 2:13:32 PM,2020-07-14 2:13:32 PM,30380,0,-78
2020-07-14 2:14:29 PM,2020-07-14 2:15:05 PM,30385,36,6
2020-07-14 2:14:52 PM,2020-07-14 2:14:52 PM,30390,0,-81
2020-07-14 2:16:29 PM,2020-07-14 2:17:08 PM,30385,39,-45
2020-07-14 2:17:53 PM,2020-07-14 2:17:53 PM,30390,0,-81
2020-07-14 2:20:50 PM,2020-07-14 2:21:11 PM,30389,21,-39
2020-07-14 2:21:52 PM,2020-07-14 2:21:58 PM,30380,6,5
2020-07-14 2:24:44 PM,2020-07-14 2:25:38 PM,30389,54,47
2020-07-14 2:27:21 PM,2020-07-14 2:27:45 PM,30385,24,-39
2020-07-14 2:27:36 PM,2020-07-14 2:27:36 PM,30390,0,-81
2020-07-14 2:29:32 PM,2020-07-14 2:29:38 PM,30389,6,2
2020-07-14 2:29:36 PM,2020-07-14 2:29:36 PM,30385,0,-79
2020-07-14 2:30:42 PM,2020-07-14 2:30:42 PM,30385,0,-78
2020-07-14 2:40:02 PM,2020-07-14 2:40:44 PM,30385,42,-17
2020-07-14 2:43:36 PM,2020-07-14 2:44:35 PM,30385,59,46
2020-07-14 2:52:36 PM,2020-07-14 2:52:36 PM,30389,0,-84
2020-07-14 2:53:56 PM,2020-07-14 2:53:56 PM,30380,0,-86
2020-07-14 2:58:21 PM,2020-07-14 2:58:21 PM,30390,0,-79
2020-07-14 2:59:53 PM,2020-07-14 2:59:53 PM,30385,0,-81
2020-07-14 3:03:39 PM,2020-07-14 3:03:39 PM,30390,0,-83
2020-07-14 3:02:32 PM,2020-07-14 3:04:38 PM,30389,126,-65
2020-07-14 3:04:31 PM,2020-07-14 3:06:21 PM,30385,110,-30
2020-07-14 3:10:49 PM,2020-07-14 3:11:07 PM,30385,18,46
2020-07-14 3:12:04 PM,2020-07-14 3:12:25 PM,30389,21,-21
2020-07-14 3:12:22 PM,2020-07-14 3:12:34 PM,30385,12,-29
2020-07-14 3:12:56 PM,2020-07-14 3:13:02 PM,30390,6,52
2020-07-14 3:17:22 PM,2020-07-14 3:17:31 PM,30389,9,9
2020-07-14 3:19:20 PM,2020-07-14 3:20:09 PM,30389,49,-48
2020-07-14 3:20:36 PM,2020-07-14 3:21:12 PM,30385,36,-41
2020-07-14 3:24:37 PM,2020-07-14 3:27:51 PM,30389,194,-66
2020-07-14 3:29:46 PM,2020-07-14 3:29:49 PM,30390,3,52
2020-07-14 3:31:12 PM,2020-07-14 3:31:12 PM,30390,0,-85
2020-07-14 3:32:30 PM,2020-07-14 3:33:25 PM,30390,55,-18
2020-07-14 3:35:51 PM,2020-07-14 3:36:39 PM,30390,48,-18
2020-07-14 3:39:39 PM,2020-07-14 3:39:45 PM,30390,6,9
2020-07-14 3:41:38 PM,2020-07-14 3:42:02 PM,30390,24,-35
2020-07-14 4:41:42 PM,2020-07-14 4:42:09 PM,30390,27,-39
2020-07-14 5:22:31 PM,2020-07-14 5:22:34 PM,30390,3,46
2020-07-14 5:22:45 PM,2020-07-14 5:24:18 PM,30389,93,-57
2020-07-14 6:38:05 PM,2020-07-14 6:38:05 PM,30385,0,-85
2020-07-14 6:39:35 PM,2020-07-14 6:39:35 PM,30385,0,-84
2020-07-14 7:24:13 PM,2020-07-14 7:24:13 PM,30385,0,-83
2020-07-14 7:39:28 PM,2020-07-14 7:40:49 PM,30385,81,-59
2020-07-14 8:11:58 PM,2020-07-14 8:11:58 PM,30385,0,-78
2020-07-14 8:12:17 PM,2020-07-14 8:12:17 PM,30389,0,-66
