Product Type: Litetrack LR
Product ID: 80380
Firmware Version: V8.99.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Cause of Fix
2020-06-18 5:31:05 PM,51.4135596,-114.3276032,1134.76,67,15.5,2.4,5,GPS Schedule
2020-06-18 5:32:17 PM,51.4133957,-114.3278820,1136.52,2,15.5,2.2,5,Proximity GPS Schedule
2020-06-18 5:35:01 PM,51.4133174,-114.3278206,1152.42,1,15.0,2.2,5,GPS Schedule
2020-06-18 5:40:34 PM,51.4134537,-114.3277937,1131.37,34,15.5,0.8,9,GPS Schedule
2020-06-18 5:45:01 PM,51.4133782,-114.3276977,1140.63,1,15.5,1.6,7,GPS Schedule
2020-06-18 5:50:02 PM,51.4133878,-114.3277688,1124.43,1,15.5,1,8,GPS Schedule
2020-06-18 5:55:03 PM,51.4134319,-114.3277844,1138.42,2,15.5,0.8,9,GPS Schedule
2020-06-18 6:00:01 PM,51.4134590,-114.3279442,1102.75,1,16.0,1.2,7,GPS Schedule
2020-06-18 6:05:01 PM,51.4134021,-114.3276466,1144.90,1,16.0,1,7,GPS Schedule
2020-06-18 6:10:01 PM,51.4134736,-114.3279543,1133.44,1,16.5,1.2,6,GPS Schedule
2020-06-18 6:15:01 PM,51.4134393,-114.3279636,1118.57,1,16.5,1.2,6,GPS Schedule
2020-06-18 6:20:02 PM,51.4134056,-114.3278592,1127.96,1,16.5,1,8,GPS Schedule
2020-06-18 6:25:01 PM,51.4133853,-114.3276880,1132.33,0,16.5,1.2,7,GPS Schedule
2020-06-18 6:30:01 PM,51.4134140,-114.3277894,1150.24,0,16.0,1.2,7,GPS Schedule
2020-06-18 6:35:02 PM,51.4134783,-114.3278854,1139.42,0,16.0,1.2,7,GPS Schedule
2020-06-18 6:40:01 PM,51.4134682,-114.3279343,1149.27,0,16.5,1.4,7,GPS Schedule
2020-06-18 6:45:00 PM,51.4135427,-114.3278093,1151.61,0,16.0,1.4,6,GPS Schedule
2020-06-18 6:50:02 PM,51.4134437,-114.3279471,1127.14,1,17.0,1.6,6,GPS Schedule
2020-06-18 6:55:02 PM,51.4134349,-114.3279234,1131.76,1,17.0,1.8,6,GPS Schedule
2020-06-18 7:00:00 PM,51.4135759,-114.3281859,1129.47,0,17.0,1.8,6,GPS Schedule
2020-06-18 7:05:02 PM,51.4135584,-114.3278018,1132.30,2,17.0,2,6,GPS Schedule
2020-06-18 7:10:01 PM,51.4133783,-114.3278021,1126.55,1,17.0,3,4,GPS Schedule
2020-06-18 7:15:51 PM,51.4134205,-114.3278106,1138.15,51,17.5,2,5,GPS Schedule
2020-06-18 7:20:12 PM,51.4134855,-114.3278972,1137.50,12,17.5,2,5,GPS Schedule
