GMT,MST,Date,Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Fix
2020-07-13 15:51,2020-07-13 9:51,2020-07-13,09:51:04,51.4137867,-114.3275776,1129.95,62,14.5,4.4,5,GPS Schedule
2020-07-13 15:55,2020-07-13 9:55,2020-07-13,09:55:04,51.4139495,-114.3274082,1128.28,1,14.5,4.4,5,GPS Schedule
2020-07-13 15:55,2020-07-13 9:55,2020-07-13,09:55:27,51.4139361,-114.3273643,1129.47,2,14.5,4.4,5,Proximity GPS Schedule
2020-07-13 16:00,2020-07-13 10:00,2020-07-13,10:00:02,51.4141524,-114.3269872,1221.57,3,15,6,4,GPS Schedule
2020-07-13 16:06,2020-07-13 10:06,2020-07-13,10:06:03,51.4139961,-114.3274893,1145.9,64,15.5,1.8,5,GPS Schedule
2020-07-13 16:10,2020-07-13 10:10,2020-07-13,10:10:13,51.4139605,-114.3275236,1128.59,14,15.5,1.8,5,GPS Schedule
2020-07-13 16:15,2020-07-13 10:15,2020-07-13,10:15:33,51.413901,-114.327374,1133.87,34,16,1.2,7,GPS Schedule
2020-07-13 16:20,2020-07-13 10:20,2020-07-13,10:20:10,51.4138768,-114.3275881,1136.02,11,16.5,1.6,5,GPS Schedule
2020-07-13 16:25,2020-07-13 10:25,2020-07-13,10:25:10,51.4139082,-114.3273858,1131.95,11,16,1.2,7,GPS Schedule
2020-07-13 16:30,2020-07-13 10:30,2020-07-13,10:30:10,51.4141674,-114.3263906,1117.89,11,16.5,1.2,6,GPS Schedule
2020-07-13 16:35,2020-07-13 10:35,2020-07-13,10:35:10,51.4141182,-114.3263719,1131.21,11,16.5,1.2,7,GPS Schedule
2020-07-13 16:40,2020-07-13 10:40,2020-07-13,10:40:12,51.4140673,-114.3263613,1130.62,12,17,1.2,7,GPS Schedule
2020-07-13 16:45,2020-07-13 10:45,2020-07-13,10:45:03,51.4139334,-114.3263997,1129.71,3,17.5,1.2,7,GPS Schedule
2020-07-13 16:50,2020-07-13 10:50,2020-07-13,10:50:01,51.4141315,-114.3263943,1123.64,1,18,1.2,7,GPS Schedule
2020-07-13 16:55,2020-07-13 10:55,2020-07-13,10:55:01,51.4140745,-114.3263732,1128.7,1,18.5,1.4,6,GPS Schedule
2020-07-13 17:00,2020-07-13 11:00,2020-07-13,11:00:01,51.4140142,-114.3263482,1122.54,1,18.5,1.4,6,GPS Schedule
2020-07-13 17:04,2020-07-13 11:04,2020-07-13,11:04:59,51.4141381,-114.3264218,1129.45,0,19,1.6,5,GPS Schedule
2020-07-13 17:10,2020-07-13 11:10,2020-07-13,11:10:01,51.4140657,-114.3263909,1123.08,1,19.5,1.6,6,GPS Schedule
2020-07-13 17:15,2020-07-13 11:15,2020-07-13,11:15:00,51.4138904,-114.3263439,1129.7,1,20,3,4,GPS Schedule
2020-07-13 17:21,2020-07-13 11:21,2020-07-13,11:21:03,51.4140574,-114.3263364,1131.5,64,20.5,1.2,7,GPS Schedule
2020-07-13 17:25,2020-07-13 11:25,2020-07-13,11:25:10,51.4140143,-114.3263698,1128.93,11,20,1.2,7,GPS Schedule
2020-07-13 17:30,2020-07-13 11:30,2020-07-13,11:30:12,51.4139813,-114.3262497,1130.58,12,20.5,2.4,5,GPS Schedule
2020-07-13 17:34,2020-07-13 11:34,2020-07-13,11:34:59,51.4141968,-114.3264349,1138.31,0,20,2.4,6,GPS Schedule
2020-07-13 17:39,2020-07-13 11:39,2020-07-13,11:39:59,51.4143671,-114.3261269,1164.12,0,21,2.4,5,GPS Schedule
2020-07-13 17:44,2020-07-13 11:44,2020-07-13,11:44:59,51.4138843,-114.3262038,1077.79,0,21,1.4,5,GPS Schedule
2020-07-13 17:50,2020-07-13 11:50,2020-07-13,11:50:02,51.4140723,-114.3263292,1131.45,3,20.5,2.6,6,GPS Schedule
2020-07-13 17:54,2020-07-13 11:54,2020-07-13,11:54:59,51.4141168,-114.3263276,1114.71,0,20.5,1.4,6,GPS Schedule
2020-07-13 17:59,2020-07-13 11:59,2020-07-13,11:59:59,51.4140677,-114.3262675,1138.26,0,21,1.6,6,GPS Schedule
2020-07-13 18:04,2020-07-13 12:04,2020-07-13,12:04:59,51.4141323,-114.3270941,1211.84,0,21,2.6,5,GPS Schedule
2020-07-13 18:10,2020-07-13 12:10,2020-07-13,12:10:01,51.4139309,-114.3263604,1127.38,2,21,1.6,7,GPS Schedule
2020-07-13 18:15,2020-07-13 12:15,2020-07-13,12:15:01,51.4140271,-114.3263816,1127.79,2,21.5,2.6,5,GPS Schedule
2020-07-13 18:19,2020-07-13 12:19,2020-07-13,12:19:59,51.4138913,-114.3265712,1136.01,0,22,1.8,6,GPS Schedule
2020-07-13 18:25,2020-07-13 12:25,2020-07-13,12:25:01,51.413974,-114.3262856,1140.18,2,21,2.4,5,GPS Schedule
2020-07-13 18:30,2020-07-13 12:30,2020-07-13,12:30:01,51.4140552,-114.3263339,1124.02,2,21,3.6,4,GPS Schedule
2020-07-13 18:36,2020-07-13 12:36,2020-07-13,12:36:03,51.4140862,-114.3263837,1123.82,64,21.5,1.2,7,GPS Schedule
2020-07-13 18:40,2020-07-13 12:40,2020-07-13,12:40:10,51.4139884,-114.3263507,1126.11,11,21,1.2,7,GPS Schedule
2020-07-13 18:45,2020-07-13 12:45,2020-07-13,12:45:10,51.4140348,-114.3263626,1129.66,11,20.5,1.2,7,GPS Schedule
