GMT,MST,Date,Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Fix
2020-07-13 21:48,2020-07-13 15:48,2020-07-13,15:48:41,0,0,0,70,14.5,0,0,Proximity GPS Schedule
2020-07-13 21:51,2020-07-13 15:51,2020-07-13,15:51:10,51.4138033,-114.328613,1040.2,70,15,3.4,4,GPS Schedule
2020-07-13 21:56,2020-07-13 15:56,2020-07-13,15:56:10,0,0,0,70,15,0,0,GPS Schedule
2020-07-13 22:01,2020-07-13 16:01,2020-07-13,16:01:10,0,0,0,70,15.5,0,0,GPS Schedule
2020-07-13 22:06,2020-07-13 16:06,2020-07-13,16:06:03,51.4140721,-114.3263554,1132.75,63,15.5,1.4,6,GPS Schedule
2020-07-13 22:10,2020-07-13 16:10,2020-07-13,16:10:00,51.4141253,-114.3265143,1116.51,0,15.5,1.8,5,GPS Schedule
2020-07-13 22:15,2020-07-13 16:15,2020-07-13,16:15:01,51.4137996,-114.3271106,1029.02,1,16,1.4,6,GPS Schedule
2020-07-13 22:20,2020-07-13 16:20,2020-07-13,16:20:03,51.4139336,-114.3271729,1133.54,3,16,1.4,6,GPS Schedule
2020-07-13 22:25,2020-07-13 16:25,2020-07-13,16:25:02,51.413922,-114.3271775,1126.89,2,16.5,1.4,6,GPS Schedule
2020-07-13 22:30,2020-07-13 16:30,2020-07-13,16:30:01,51.4139843,-114.3270575,1141.83,1,16.5,1.4,6,GPS Schedule
2020-07-13 22:35,2020-07-13 16:35,2020-07-13,16:35:01,51.41422,-114.3271987,1155.44,1,17,1.6,5,GPS Schedule
2020-07-13 22:40,2020-07-13 16:40,2020-07-13,16:40:01,51.4138611,-114.3272789,1132.3,1,17.5,1.4,6,GPS Schedule
2020-07-13 22:45,2020-07-13 16:45,2020-07-13,16:45:01,51.414001,-114.3271944,1149.3,1,18,1.4,6,GPS Schedule
2020-07-13 22:50,2020-07-13 16:50,2020-07-13,16:50:02,51.4138987,-114.3271564,1136.64,1,19,1.4,6,GPS Schedule
