Start,Stop,Proximity,Session,RSSI
2020-06-18 20:28,2020-06-18 20:28,30384,0,-82
2020-06-18 20:32,2020-06-18 20:32,30384,0,-82
2020-06-18 20:39,2020-06-18 20:39,30384,43,-54
2020-06-18 20:47,2020-06-18 20:47,30386,19,5
2020-06-18 20:56,2020-06-18 20:56,30386,0,-86
2020-06-18 20:57,2020-06-18 20:57,30384,24,-21
2020-06-18 20:57,2020-06-18 20:58,30386,18,-30
2020-06-18 21:01,2020-06-18 21:03,30386,139,-63
2020-06-18 21:03,2020-06-18 21:03,30384,6,45
2020-06-18 21:04,2020-06-18 21:04,30386,21,46
2020-06-18 21:07,2020-06-18 21:07,30386,0,-81
2020-06-18 21:14,2020-06-18 21:14,30386,54,-56
2020-06-18 21:16,2020-06-18 21:16,30386,0,-83
2020-06-18 21:18,2020-06-18 21:18,30386,0,-87
2020-06-18 21:21,2020-06-18 21:22,30386,66,-59
2020-06-18 21:23,2020-06-18 21:24,30386,45,-18
2020-06-18 21:28,2020-06-18 21:28,30386,0,-85
2020-06-18 21:31,2020-06-18 21:31,30386,9,-21
2020-06-18 21:33,2020-06-18 21:33,30386,0,-86
2020-06-18 21:36,2020-06-18 21:37,30386,33,-39
2020-06-18 21:39,2020-06-18 21:39,30386,0,-84
2020-06-18 21:47,2020-06-18 21:48,30387,31,-47
2020-06-18 21:51,2020-06-18 21:51,30387,21,-38
2020-06-18 21:57,2020-06-18 21:57,30387,25,3
2020-06-18 21:59,2020-06-18 21:59,30387,36,1
2020-06-18 22:02,2020-06-18 22:02,30386,24,-21
2020-06-18 22:06,2020-06-18 22:06,30386,9,43
2020-06-18 22:06,2020-06-18 22:07,30384,69,4
2020-06-18 22:07,2020-06-18 22:09,30386,126,-63
2020-06-18 22:13,2020-06-18 22:13,30384,0,-79
2020-06-18 22:11,2020-06-18 22:14,30386,178,-62
2020-06-18 22:13,2020-06-18 22:14,30387,54,-61
2020-06-18 22:16,2020-06-18 22:17,30386,51,-40
2020-06-18 22:19,2020-06-18 22:19,30386,3,48
2020-06-18 22:26,2020-06-18 22:27,30386,48,-53
2020-06-18 22:26,2020-06-18 22:26,30387,3,58
2020-06-18 22:33,2020-06-18 22:33,30386,0,-87
2020-06-18 22:34,2020-06-18 22:34,30386,0,-83
2020-06-18 22:36,2020-06-18 22:37,30386,45,-43
2020-06-18 22:43,2020-06-18 22:43,30386,0,-85
2020-06-18 22:46,2020-06-18 22:49,30386,225,-76
2020-06-18 22:51,2020-06-18 22:54,30386,198,-71
2020-06-18 22:56,2020-06-18 22:56,30386,0,-89
2020-06-18 22:58,2020-06-18 22:59,30386,111,-46
2020-06-18 23:07,2020-06-18 23:09,30386,102,-23
2020-06-18 23:12,2020-06-18 23:12,30386,45,39
2020-06-18 23:14,2020-06-18 23:14,30386,0,-89
2020-06-18 23:21,2020-06-18 23:23,30386,96,-57
2020-06-18 23:51,2020-06-18 23:51,30390,30,2
2020-06-18 23:51,2020-06-18 23:52,30386,59,-20
