Start,Stop,Proximity ID,Session,RSSI
2020-06-18 21:39,2020-06-18 21:39,30386,0,-83
2020-06-18 21:42,2020-06-18 21:42,30385,3,45
2020-06-18 21:44,2020-06-18 21:44,30385,0,-83
2020-06-18 21:47,2020-06-18 21:48,30385,32,-53
2020-06-18 21:54,2020-06-18 21:54,30388,0,-78
2020-06-18 21:56,2020-06-18 21:56,30388,9,46
2020-06-18 21:56,2020-06-18 21:56,30386,0,-80
2020-06-18 21:58,2020-06-18 21:58,30388,21,10
2020-06-18 21:58,2020-06-18 21:58,30386,3,46
2020-06-18 22:01,2020-06-18 22:01,30386,0,-82
2020-06-18 22:06,2020-06-18 22:06,30384,0,-75
2020-06-18 22:05,2020-06-18 22:08,30386,180,-68
2020-06-18 22:07,2020-06-18 22:08,30384,27,44
2020-06-18 22:11,2020-06-18 22:11,30384,6,7
2020-06-18 22:13,2020-06-18 22:13,30384,0,-83
2020-06-18 22:13,2020-06-18 22:14,30385,57,-62
2020-06-18 22:13,2020-06-18 22:14,30386,18,4
2020-06-18 22:16,2020-06-18 22:16,30385,0,-81
2020-06-18 22:21,2020-06-18 22:21,30385,3,45
2020-06-18 22:25,2020-06-18 22:26,30386,30,4
2020-06-18 22:26,2020-06-18 22:26,30385,3,55
2020-06-18 22:27,2020-06-18 22:28,30389,72,-16
2020-06-18 22:27,2020-06-18 22:27,30386,3,46
2020-06-18 22:28,2020-06-18 22:28,30388,3,50
2020-06-18 22:31,2020-06-18 22:31,30388,12,-19
2020-06-18 22:41,2020-06-18 22:42,30389,96,-44
2020-06-18 22:43,2020-06-18 22:43,30386,27,-40
2020-06-18 22:46,2020-06-18 22:46,30384,0,-86
2020-06-18 22:46,2020-06-18 22:46,30386,0,-83
2020-06-18 23:50,2020-06-18 23:50,30390,0,-81
2020-06-18 23:51,2020-06-18 23:51,30388,18,-38
2020-06-18 23:51,2020-06-18 23:51,30384,8,2
2020-06-18 23:52,2020-06-18 23:52,30390,3,46
2020-06-18 23:52,2020-06-18 23:53,30385,63,-17
2020-06-18 23:53,2020-06-18 23:53,30391,3,45
2020-06-18 23:53,2020-06-18 23:55,30388,97,-40
2020-06-18 23:55,2020-06-18 23:56,30391,15,44
2020-06-18 23:56,2020-06-18 23:56,30386,6,5
2020-06-18 23:57,2020-06-18 23:57,30391,12,-25
2020-06-18 23:59,2020-06-18 23:59,30385,0,-79
2020-06-18 23:59,2020-06-19 0:00,30384,37,-20
2020-06-18 23:58,2020-06-19 0:00,30391,112,-42
2020-06-19 0:02,2020-06-19 0:02,30384,0,-83
2020-06-19 0:05,2020-06-19 0:05,30390,0,-87
2020-06-19 0:06,2020-06-19 0:06,30385,0,-83
2020-06-19 0:05,2020-06-19 0:06,30391,64,-59
2020-06-19 0:07,2020-06-19 0:07,30390,3,45
2020-06-19 0:08,2020-06-19 0:09,30385,57,-54
2020-06-19 0:11,2020-06-19 0:12,30385,49,-33
2020-06-19 0:09,2020-06-19 0:12,30390,189,-68
2020-06-18 23:58,2020-06-19 0:14,30386,973,-74
2020-06-19 0:13,2020-06-19 0:14,30385,45,-51
2020-06-18 23:59,2020-06-19 0:14,30389,956,-77
2020-06-19 0:15,2020-06-19 0:15,30390,0,-83
2020-06-19 0:08,2020-06-19 0:18,30391,559,-77
2020-06-19 0:18,2020-06-19 0:18,30386,0,-82
2020-06-19 0:19,2020-06-19 0:19,30391,0,-87
2020-06-19 0:19,2020-06-19 0:19,30386,33,43
2020-06-19 0:19,2020-06-19 0:20,30390,41,-31
2020-06-18 23:57,2020-06-19 0:21,30388,1447,-71
2020-06-19 0:20,2020-06-19 0:21,30391,37,-20
2020-06-19 0:23,2020-06-19 0:24,30391,88,-32
2020-06-19 0:24,2020-06-19 0:25,30388,41,-20
2020-06-19 0:25,2020-06-19 0:25,30386,0,-82
2020-06-19 0:27,2020-06-19 0:27,30388,0,-83
2020-06-19 0:28,2020-06-19 0:28,30386,3,44
2020-06-19 0:29,2020-06-19 0:29,30386,0,-84
2020-06-19 0:32,2020-06-19 0:32,30386,0,-84
2020-06-19 0:25,2020-06-19 0:32,30390,454,-76
2020-06-19 0:32,2020-06-19 0:33,30385,60,1
2020-06-19 0:27,2020-06-19 0:33,30391,352,-70
2020-06-19 0:25,2020-06-19 0:34,30389,581,-75
2020-06-19 0:35,2020-06-19 0:35,30391,3,43
2020-06-19 0:31,2020-06-19 0:39,30388,464,-75
2020-06-19 0:34,2020-06-19 0:39,30390,297,-75
2020-06-19 0:41,2020-06-19 0:42,30388,42,-54
2020-06-19 0:41,2020-06-19 0:42,30390,85,-62
2020-06-19 0:43,2020-06-19 0:43,30383,18,-40
2020-06-19 0:43,2020-06-19 0:43,30385,0,-82
2020-06-19 0:43,2020-06-19 0:44,30386,30,-29
2020-06-19 0:46,2020-06-19 0:46,30385,18,-36
