Start,Stop,Proximity,Session,RSSI
2020-06-18 22:26,2020-06-18 22:26,30387,0,-84
2020-06-18 22:27,2020-06-18 22:27,30387,33,5
2020-06-18 22:28,2020-06-18 22:28,30388,24,-44
2020-06-18 22:41,2020-06-18 22:42,30387,110,-54
2020-06-18 22:42,2020-06-18 22:43,30386,3,47
2020-06-18 22:43,2020-06-18 22:43,30384,21,-19
2020-06-18 22:55,2020-06-18 22:55,30388,15,10
2020-06-18 22:59,2020-06-18 22:59,30388,3,45
2020-06-18 23:04,2020-06-18 23:04,30388,40,-31
2020-06-18 23:20,2020-06-18 23:20,30391,0,-84
2020-06-18 23:21,2020-06-18 23:22,30391,68,-58
2020-06-18 23:23,2020-06-18 23:24,30391,30,-18
2020-06-18 23:24,2020-06-18 23:24,30388,0,-75
2020-06-18 23:25,2020-06-18 23:27,30391,124,-64
2020-06-18 23:25,2020-06-18 23:27,30388,87,-50
2020-06-18 23:25,2020-06-18 23:27,30390,91,-36
2020-06-18 23:28,2020-06-18 23:28,30391,6,45
2020-06-18 23:30,2020-06-18 23:31,30391,51,-37
2020-06-18 23:29,2020-06-18 23:32,30388,199,-68
2020-06-18 23:32,2020-06-18 23:32,30390,18,45
2020-06-18 23:32,2020-06-18 23:32,30391,0,-81
2020-06-18 23:34,2020-06-18 23:34,30391,3,46
2020-06-18 23:35,2020-06-18 23:35,30388,30,-16
2020-06-18 23:38,2020-06-18 23:38,30388,0,-78
2020-06-18 23:38,2020-06-18 23:38,30390,3,48
2020-06-18 23:43,2020-06-18 23:44,30388,42,-42
2020-06-18 23:45,2020-06-18 23:47,30388,120,-70
2020-06-18 23:50,2020-06-18 23:51,30388,27,-48
2020-06-18 23:47,2020-06-18 23:53,30391,370,-73
2020-06-18 23:53,2020-06-18 23:53,30390,0,-81
2020-06-18 23:54,2020-06-18 23:54,30391,0,-78
2020-06-18 23:54,2020-06-18 23:54,30387,0,-83
2020-06-18 23:54,2020-06-18 23:54,30388,0,-83
2020-06-18 23:55,2020-06-18 23:55,30387,6,46
2020-06-18 23:56,2020-06-18 23:56,30386,16,47
2020-06-18 23:56,2020-06-18 23:56,30391,0,-76
2020-06-18 23:58,2020-06-18 23:58,30391,0,-84
2020-06-18 23:59,2020-06-18 23:59,30385,0,-82
2020-06-19 0:00,2020-06-19 0:01,30391,61,-40
2020-06-19 0:00,2020-06-19 0:02,30390,88,-20
2020-06-19 0:02,2020-06-19 0:03,30384,58,-33
2020-06-19 0:07,2020-06-19 0:07,30385,3,45
2020-06-19 0:06,2020-06-19 0:07,30384,27,-18
2020-06-19 0:07,2020-06-19 0:08,30390,48,4
2020-06-19 0:09,2020-06-19 0:09,30385,3,44
2020-06-19 0:07,2020-06-19 0:09,30391,90,-41
2020-06-19 0:08,2020-06-19 0:11,30384,135,-64
2020-06-19 0:10,2020-06-19 0:11,30391,46,3
2020-06-18 23:57,2020-06-19 0:12,30388,877,-76
2020-06-19 0:09,2020-06-19 0:13,30390,211,-73
2020-06-19 0:14,2020-06-19 0:14,30388,0,-85
2020-06-19 0:12,2020-06-19 0:14,30385,115,-70
2020-06-19 0:16,2020-06-19 0:17,30388,33,2
2020-06-19 0:17,2020-06-19 0:17,30385,15,43
2020-06-19 0:16,2020-06-19 0:17,30391,64,-33
2020-06-19 0:18,2020-06-19 0:19,30388,24,-19
2020-06-18 23:57,2020-06-19 0:19,30386,1316,-75
2020-06-19 0:19,2020-06-19 0:19,30391,30,3
2020-06-19 0:19,2020-06-19 0:19,30385,0,-83
2020-06-19 0:21,2020-06-19 0:21,30391,27,-20
2020-06-19 0:22,2020-06-19 0:23,30391,66,-41
2020-06-19 0:20,2020-06-19 0:26,30386,307,-75
2020-06-19 0:27,2020-06-19 0:27,30385,3,46
2020-06-19 0:31,2020-06-19 0:31,30386,0,-84
2020-06-19 0:32,2020-06-19 0:32,30388,7,47
2020-06-19 0:25,2020-06-19 0:32,30390,418,-75
2020-06-19 0:25,2020-06-19 0:33,30391,461,-74
2020-06-19 0:33,2020-06-19 0:33,30388,6,46
2020-06-19 0:33,2020-06-19 0:33,30385,0,-83
2020-06-19 0:35,2020-06-19 0:35,30391,20,-46
2020-06-19 0:35,2020-06-19 0:37,30388,155,-37
2020-06-19 0:35,2020-06-19 0:38,30390,196,-65
2020-06-18 23:57,2020-06-19 0:39,30387,2509,-78
2020-06-19 0:39,2020-06-19 0:39,30388,0,-82
2020-06-19 0:41,2020-06-19 0:41,30387,0,-84
2020-06-19 0:41,2020-06-19 0:42,30391,66,-64
2020-06-19 0:43,2020-06-19 0:43,30390,6,45
2020-06-19 0:44,2020-06-19 0:44,30391,27,-47
2020-06-19 0:45,2020-06-19 0:45,30388,0,-82
2020-06-19 0:46,2020-06-19 0:46,30390,0,-84
2020-06-19 0:48,2020-06-19 0:48,30391,0,-83
2020-06-19 0:52,2020-06-19 0:52,30391,34,-38
2020-06-19 0:53,2020-06-19 0:53,30388,0,-82
2020-06-19 0:53,2020-06-19 0:54,30391,28,-19
2020-06-19 0:55,2020-06-19 0:55,30390,30,-19
2020-06-19 0:57,2020-06-19 0:57,30388,0,-81
2020-06-19 0:58,2020-06-19 1:00,30391,128,-66
2020-06-19 0:58,2020-06-19 0:59,30383,63,-53
2020-06-19 1:03,2020-06-19 1:04,30388,24,3
2020-06-19 1:03,2020-06-19 1:04,30387,100,-51
2020-06-19 1:03,2020-06-19 1:04,30385,60,-60
2020-06-19 1:02,2020-06-19 1:06,30386,217,-69
2020-06-19 1:06,2020-06-19 1:06,30385,0,-84
2020-06-19 1:08,2020-06-19 1:08,30384,0,-73
2020-06-19 1:09,2020-06-19 1:12,30384,127,-56
2020-06-19 1:12,2020-06-19 1:12,30391,0,-83
2020-06-19 1:13,2020-06-19 1:13,30386,42,-54
2020-06-19 1:12,2020-06-19 1:14,30385,132,-68
2020-06-19 1:13,2020-06-19 1:14,30391,37,-40
2020-06-19 1:16,2020-06-19 1:16,30384,25,-18
2020-06-19 1:16,2020-06-19 1:17,30385,95,-49
2020-06-19 1:18,2020-06-19 1:19,30384,58,-48
2020-06-19 1:23,2020-06-19 1:23,30387,0,-81
2020-06-19 1:24,2020-06-19 1:27,30384,174,-64
2020-06-19 1:28,2020-06-19 1:28,30387,0,-85
2020-06-19 1:25,2020-06-19 1:28,30391,177,-61
2020-06-19 1:28,2020-06-19 1:28,30386,0,-84
2020-06-19 1:28,2020-06-19 1:29,30385,82,-61
