Start,Stop,Proximity ID,Session,RSSI
2020-06-19 1:05,2020-06-19 1:05,30380,9,5
2020-06-19 1:08,2020-06-19 1:08,30390,15,-25
2020-06-19 1:08,2020-06-19 1:09,30387,69,-65
2020-06-19 1:08,2020-06-19 1:09,30385,69,-56
2020-06-19 1:12,2020-06-19 1:12,30384,36,-43
2020-06-19 1:12,2020-06-19 1:12,30386,24,51
2020-06-19 1:12,2020-06-19 1:12,30389,18,46
2020-06-19 1:14,2020-06-19 1:14,30389,19,-32
2020-06-19 1:14,2020-06-19 1:14,30384,3,46
2020-06-19 1:11,2020-06-19 1:14,30385,226,-67
2020-06-19 1:16,2020-06-19 1:16,30385,0,-84
2020-06-19 1:17,2020-06-19 1:17,30385,0,-85
2020-06-19 1:16,2020-06-19 1:19,30388,206,-66
2020-06-19 1:16,2020-06-19 1:19,30387,185,-61
2020-06-19 1:13,2020-06-19 1:19,30386,361,-72
2020-06-19 1:20,2020-06-19 1:21,30387,21,-41
2020-06-19 1:20,2020-06-19 1:21,30388,64,-32
2020-06-19 1:21,2020-06-19 1:21,30386,0,-83
2020-06-19 1:22,2020-06-19 1:22,30387,9,3
2020-06-19 1:25,2020-06-19 1:25,30389,0,-85
2020-06-19 1:25,2020-06-19 1:26,30384,3,54
2020-06-19 1:27,2020-06-19 1:27,30384,0,-76
2020-06-19 1:27,2020-06-19 1:27,30386,9,8
2020-06-19 1:26,2020-06-19 1:28,30389,94,-42
2020-06-19 1:27,2020-06-19 1:29,30385,115,-65
2020-06-19 1:28,2020-06-19 1:29,30387,72,-45
2020-06-19 1:29,2020-06-19 1:30,30386,64,-32
2020-06-19 1:32,2020-06-19 1:32,30387,0,-87
2020-06-19 1:31,2020-06-19 1:34,30385,189,-69
2020-06-19 1:34,2020-06-19 1:34,30388,12,-7
2020-06-19 1:34,2020-06-19 1:34,30390,3,48
2020-06-19 1:35,2020-06-19 1:36,30386,46,-32
2020-06-19 1:36,2020-06-19 1:37,30385,33,45
2020-06-19 1:37,2020-06-19 1:37,30386,3,45
2020-06-19 1:35,2020-06-19 1:38,30389,163,-60
2020-06-19 1:39,2020-06-19 1:39,30386,45,43
2020-06-19 1:39,2020-06-19 1:39,30385,0,-79
2020-06-19 1:36,2020-06-19 1:41,30387,293,-73
2020-06-19 1:42,2020-06-19 1:43,30385,69,-40
2020-06-19 1:43,2020-06-19 1:44,30386,36,-59
2020-06-19 1:46,2020-06-19 1:47,30383,33,2
2020-06-19 1:46,2020-06-19 1:48,30381,81,-52
2020-06-19 1:48,2020-06-19 1:48,30383,0,-84
2020-06-19 1:47,2020-06-19 1:48,30385,81,-65
2020-06-19 1:47,2020-06-19 1:49,30382,148,-68
2020-06-19 1:48,2020-06-19 1:49,30387,69,-54
2020-06-19 1:51,2020-06-19 1:51,30385,0,-87
2020-06-19 1:57,2020-06-19 1:57,30388,15,6
2020-06-19 1:57,2020-06-19 1:57,30390,0,-81
2020-06-19 1:58,2020-06-19 1:58,30388,3,45
2020-06-19 1:55,2020-06-19 1:59,30386,250,-64
2020-06-19 2:02,2020-06-19 2:02,30387,12,-20
2020-06-19 2:03,2020-06-19 2:03,30388,0,-77
2020-06-19 2:03,2020-06-19 2:04,30390,15,12
2020-06-19 2:06,2020-06-19 2:06,30385,27,-38
2020-06-19 2:06,2020-06-19 2:06,30387,0,-75
2020-06-19 2:08,2020-06-19 2:08,30385,0,-84
2020-06-19 2:06,2020-06-19 2:09,30386,158,-68
2020-06-19 2:10,2020-06-19 2:10,30389,0,-82
2020-06-19 2:10,2020-06-19 2:10,30390,39,47
