Start,Stop,Proximity,Session,RSSI
2020-06-18 21:54,2020-06-18 21:54,30387,0,-81
2020-06-18 21:55,2020-06-18 21:56,30386,55,-30
2020-06-18 21:56,2020-06-18 21:56,30387,0,-81
2020-06-18 21:58,2020-06-18 21:58,30387,22,-14
2020-06-18 22:01,2020-06-18 22:01,30385,21,-17
2020-06-18 22:13,2020-06-18 22:13,30384,6,48
2020-06-18 22:28,2020-06-18 22:28,30389,21,-36
2020-06-18 22:31,2020-06-18 22:31,30387,3,45
2020-06-18 23:20,2020-06-18 23:20,30391,30,-33
2020-06-18 23:24,2020-06-18 23:24,30389,21,3
2020-06-18 23:23,2020-06-18 23:25,30390,106,-57
2020-06-18 23:22,2020-06-18 23:28,30391,328,-72
2020-06-18 23:26,2020-06-18 23:28,30390,111,-56
2020-06-18 23:30,2020-06-18 23:31,30391,54,-55
2020-06-18 23:31,2020-06-18 23:31,30390,0,-83
2020-06-18 23:32,2020-06-18 23:33,30390,30,-51
2020-06-18 23:35,2020-06-18 23:35,30390,0,-81
2020-06-18 23:37,2020-06-18 23:39,30390,84,-61
2020-06-18 23:41,2020-06-18 23:41,30391,3,45
2020-06-18 23:41,2020-06-18 23:41,30390,0,-85
2020-06-18 23:42,2020-06-18 23:42,30390,0,-79
2020-06-18 23:43,2020-06-18 23:44,30391,75,-43
2020-06-18 23:47,2020-06-18 23:47,30390,21,-44
2020-06-18 23:46,2020-06-18 23:48,30391,112,-18
2020-06-18 23:49,2020-06-18 23:49,30390,0,-83
2020-06-18 23:51,2020-06-18 23:51,30391,6,55
2020-06-18 23:51,2020-06-18 23:51,30387,18,-30
2020-06-18 23:51,2020-06-18 23:51,30384,18,47
2020-06-18 23:53,2020-06-18 23:53,30391,15,-28
2020-06-18 23:53,2020-06-18 23:54,30387,30,48
2020-06-18 23:54,2020-06-18 23:54,30391,0,-76
2020-06-18 23:57,2020-06-18 23:58,30391,66,-53
2020-06-18 23:59,2020-06-18 23:59,30385,33,-18
2020-06-18 23:57,2020-06-18 23:59,30387,134,-65
2020-06-19 0:00,2020-06-19 0:00,30391,0,-84
2020-06-19 0:02,2020-06-19 0:05,30387,193,-60
2020-06-19 0:06,2020-06-19 0:06,30390,0,-83
2020-06-18 23:56,2020-06-19 0:07,30386,634,-76
2020-06-19 0:01,2020-06-19 0:08,30391,384,-75
2020-06-19 0:09,2020-06-19 0:09,30387,18,50
2020-06-19 0:09,2020-06-19 0:09,30390,0,-81
2020-06-19 0:09,2020-06-19 0:12,30386,193,-67
2020-06-18 23:59,2020-06-19 0:12,30389,814,-77
2020-06-19 0:10,2020-06-19 0:12,30390,105,-59
2020-06-19 0:10,2020-06-19 0:12,30391,99,-20
2020-06-19 0:10,2020-06-19 0:14,30387,218,-65
2020-06-19 0:14,2020-06-19 0:14,30389,0,-85
2020-06-19 0:16,2020-06-19 0:17,30391,60,2
2020-06-19 0:18,2020-06-19 0:18,30387,3,45
2020-06-19 0:19,2020-06-19 0:19,30385,0,-83
2020-06-19 0:19,2020-06-19 0:19,30391,0,-82
2020-06-19 0:20,2020-06-19 0:20,30387,0,-78
2020-06-19 0:13,2020-06-19 0:21,30390,454,-74
2020-06-19 0:22,2020-06-19 0:22,30390,0,-82
2020-06-19 0:23,2020-06-19 0:23,30386,0,-85
2020-06-19 0:22,2020-06-19 0:24,30385,161,-66
2020-06-19 0:23,2020-06-19 0:24,30390,61,-63
2020-06-19 0:24,2020-06-19 0:24,30391,0,-83
2020-06-19 0:24,2020-06-19 0:24,30387,0,-82
2020-06-19 0:26,2020-06-19 0:26,30385,24,-44
2020-06-19 0:28,2020-06-19 0:28,30387,0,-81
2020-06-19 0:27,2020-06-19 0:29,30385,90,-67
2020-06-19 0:32,2020-06-19 0:32,30390,6,3
2020-06-19 0:31,2020-06-19 0:33,30385,152,-67
2020-06-19 0:31,2020-06-19 0:33,30387,84,-50
2020-06-19 0:34,2020-06-19 0:34,30389,52,47
