Start,Stop,Proximity,Session,RSSI
2020-07-13 19:29,2020-07-13 19:32,30385,132,-64
2020-07-13 19:31,2020-07-13 19:32,30387,79,-52
2020-07-13 19:34,2020-07-13 19:34,30387,3,51
2020-07-13 19:34,2020-07-13 19:36,30388,89,-17
2020-07-13 19:35,2020-07-13 19:36,30385,78,-28
2020-07-13 19:36,2020-07-13 19:36,30387,0,-83
2020-07-13 19:35,2020-07-13 19:36,30384,66,-50
2020-07-13 19:37,2020-07-13 19:37,30387,4,48
2020-07-13 19:38,2020-07-13 19:38,30385,6,1
2020-07-13 19:39,2020-07-13 19:39,30384,3,45
2020-07-13 19:39,2020-07-13 19:39,30387,0,-75
2020-07-13 19:40,2020-07-13 19:41,30384,45,-44
2020-07-13 19:55,2020-07-13 19:55,30387,0,-82
2020-07-13 19:56,2020-07-13 19:56,30387,0,-68
2020-07-13 20:41,2020-07-13 20:41,30384,0,-73
2020-07-13 20:49,2020-07-13 20:49,30385,6,6
2020-07-13 21:06,2020-07-13 21:06,30384,24,44
2020-07-13 21:06,2020-07-13 21:06,30387,15,6
2020-07-13 21:06,2020-07-13 21:07,30390,12,6
2020-07-13 21:26,2020-07-13 21:26,30384,0,-85
2020-07-13 21:28,2020-07-13 21:28,30384,3,43
2020-07-13 21:28,2020-07-13 21:29,30389,101,-61
2020-07-13 21:31,2020-07-13 21:31,30389,39,44
2020-07-13 21:33,2020-07-13 21:33,30384,0,-84
2020-07-13 21:32,2020-07-13 21:34,30389,64,-62
2020-07-13 21:37,2020-07-13 21:37,30384,15,8
2020-07-13 21:37,2020-07-13 21:37,30389,18,3
2020-07-13 21:37,2020-07-13 21:40,30385,153,-64
2020-07-13 21:41,2020-07-13 21:41,30390,15,-18
2020-07-13 21:46,2020-07-13 21:49,30384,219,-73
2020-07-13 21:59,2020-07-13 21:59,30390,25,-19
2020-07-13 21:59,2020-07-13 21:59,30391,0,-81
2020-07-13 22:02,2020-07-13 22:02,30391,21,-30
2020-07-13 22:02,2020-07-13 22:04,30390,85,-62
2020-07-13 22:06,2020-07-13 22:07,30390,63,-64
2020-07-13 22:08,2020-07-13 22:08,30384,3,44
2020-07-13 22:08,2020-07-13 22:08,30391,3,47
2020-07-13 22:08,2020-07-13 22:09,30390,79,-65
2020-07-13 22:09,2020-07-13 22:09,30384,24,-36
2020-07-13 22:12,2020-07-13 22:12,30390,0,-74
2020-07-13 22:15,2020-07-13 22:16,30390,59,-33
2020-07-13 22:32,2020-07-13 22:33,30390,79,-21
2020-07-13 22:34,2020-07-13 22:34,30390,12,43
2020-07-13 22:36,2020-07-13 22:36,30390,0,-85
2020-07-13 22:35,2020-07-13 22:36,30387,78,-51
2020-07-13 22:37,2020-07-13 22:38,30387,33,1
2020-07-13 22:39,2020-07-13 22:39,30387,0,-86
2020-07-13 22:37,2020-07-13 22:41,30390,255,-54
2020-07-13 22:40,2020-07-13 22:40,30387,9,43
2020-07-13 22:43,2020-07-13 22:44,30387,27,44
2020-07-13 22:49,2020-07-13 22:49,30387,3,44
2020-07-13 22:50,2020-07-13 22:56,30387,341,-74
2020-07-13 22:57,2020-07-13 22:58,30389,63,-44
2020-07-13 22:57,2020-07-13 22:59,30385,160,-69
2020-07-13 22:56,2020-07-13 23:01,30390,276,-72
2020-07-13 23:00,2020-07-13 23:01,30391,75,-16
2020-07-13 23:00,2020-07-13 23:02,30389,109,-64
2020-07-13 23:00,2020-07-13 23:02,30385,82,-66
2020-07-13 23:01,2020-07-13 23:02,30387,51,44
2020-07-13 23:04,2020-07-13 23:04,30390,20,43
2020-07-13 23:08,2020-07-13 23:08,30385,0,-77
2020-07-13 23:09,2020-07-13 23:09,30391,39,1
2020-07-13 23:14,2020-07-13 23:15,30391,39,-44
2020-07-13 23:14,2020-07-13 23:15,30390,62,-34
2020-07-13 23:36,2020-07-13 23:39,30391,235,-78
2020-07-13 23:36,2020-07-13 23:40,30390,243,-77
2020-07-13 23:41,2020-07-13 23:41,30391,0,-76
2020-07-13 23:56,2020-07-13 23:56,30388,23,2
2020-07-13 23:57,2020-07-13 23:59,30380,97,-65
2020-07-14 0:01,2020-07-14 0:01,30390,0,-83
2020-07-14 0:09,2020-07-14 0:09,30385,0,-83
2020-07-14 0:13,2020-07-14 0:13,30387,0,-83
2020-07-14 0:13,2020-07-14 0:13,30391,0,-84
2020-07-14 0:13,2020-07-14 0:14,30384,87,-53
2020-07-14 0:14,2020-07-14 0:14,30378,0,-84
2020-07-14 0:15,2020-07-14 0:16,30378,27,-26
2020-07-14 0:16,2020-07-14 0:17,30380,39,2
2020-07-14 0:17,2020-07-14 0:17,30378,0,-82
2020-07-14 0:19,2020-07-14 0:19,30391,12,44
2020-07-14 0:20,2020-07-14 0:21,30385,91,-54
2020-07-14 0:20,2020-07-14 0:22,30390,108,-64
2020-07-14 0:25,2020-07-14 0:25,30385,0,-77
2020-07-14 0:26,2020-07-14 0:26,30384,0,-84
2020-07-14 0:27,2020-07-14 0:27,30390,10,50
2020-07-14 0:29,2020-07-14 0:29,30391,27,1
2020-07-14 0:29,2020-07-14 0:29,30390,0,-83
2020-07-14 0:34,2020-07-14 0:35,30390,20,45
2020-07-14 0:39,2020-07-14 0:39,30390,0,-85
2020-07-14 0:41,2020-07-14 0:42,30390,75,-30
2020-07-14 0:43,2020-07-14 0:43,30389,0,-84
2020-07-14 0:43,2020-07-14 0:45,30390,93,-69
2020-07-14 0:43,2020-07-14 0:46,30385,136,-67
2020-07-14 0:46,2020-07-14 0:46,30390,0,-78
2020-07-14 0:47,2020-07-14 0:48,30387,61,-45
2020-07-14 0:49,2020-07-14 0:49,30385,0,-86
2020-07-14 0:49,2020-07-14 0:50,30390,46,-28
2020-07-14 0:48,2020-07-14 0:50,30389,138,-65
2020-07-14 0:50,2020-07-14 0:51,30387,84,-65
2020-07-14 0:49,2020-07-14 0:52,30384,123,-58
2020-07-14 0:52,2020-07-14 0:52,30390,0,-82
2020-07-14 0:53,2020-07-14 0:53,30391,53,-27
2020-07-14 0:54,2020-07-14 0:54,30389,0,-81
2020-07-14 0:53,2020-07-14 0:54,30387,46,-16
2020-07-14 0:54,2020-07-14 0:54,30390,30,-41
2020-07-14 0:56,2020-07-14 0:56,30384,9,48
2020-07-14 0:55,2020-07-14 0:57,30387,128,-68
2020-07-14 0:57,2020-07-14 0:58,30390,76,-62
2020-07-14 0:58,2020-07-14 0:58,30387,0,-83
2020-07-14 0:59,2020-07-14 0:59,30391,12,-31
2020-07-14 1:00,2020-07-14 1:00,30390,27,-52
2020-07-14 0:57,2020-07-14 1:01,30384,227,-73
2020-07-14 1:02,2020-07-14 1:04,30390,112,-65
2020-07-14 1:04,2020-07-14 1:04,30391,0,-80
2020-07-14 1:05,2020-07-14 1:06,30385,15,44
2020-07-14 1:07,2020-07-14 1:08,30384,24,-36
2020-07-14 1:08,2020-07-14 1:08,30387,0,-84
2020-07-14 1:09,2020-07-14 1:10,30387,20,-31
2020-07-14 1:10,2020-07-14 1:11,30390,33,44
2020-07-14 1:12,2020-07-14 1:12,30387,0,-84
2020-07-14 1:12,2020-07-14 1:13,30390,66,-58
2020-07-14 1:10,2020-07-14 1:14,30391,259,-73
2020-07-14 1:14,2020-07-14 1:15,30387,8,43
2020-07-14 1:29,2020-07-14 1:29,30391,9,-19
2020-07-14 1:35,2020-07-14 1:39,30387,188,-67
2020-07-14 1:41,2020-07-14 1:44,30387,196,-64
2020-07-14 1:45,2020-07-14 1:47,30387,131,-61
2020-07-14 1:49,2020-07-14 1:51,30387,124,-64
2020-07-14 1:53,2020-07-14 1:54,30387,45,-45
2020-07-14 2:19,2020-07-14 2:21,30391,73,-40
2020-07-14 2:20,2020-07-14 2:20,30384,21,1
2020-07-14 2:21,2020-07-14 2:21,30387,0,-83
2020-07-14 2:22,2020-07-14 2:24,30391,99,-30
2020-07-14 2:25,2020-07-14 2:26,30391,67,-29
2020-07-14 2:22,2020-07-14 2:26,30384,265,-61
2020-07-14 2:28,2020-07-14 2:28,30384,45,-20
2020-07-14 2:30,2020-07-14 2:30,30384,3,46
2020-07-14 2:30,2020-07-14 2:30,30391,0,-82
2020-07-14 2:32,2020-07-14 2:32,30384,9,2
2020-07-14 2:33,2020-07-14 2:33,30388,30,-39
2020-07-14 2:26,2020-07-14 2:33,30387,452,-75
2020-07-14 2:34,2020-07-14 2:34,30388,0,-85
2020-07-14 2:34,2020-07-14 2:34,30391,42,-50
2020-07-14 2:35,2020-07-14 2:36,30378,9,2
2020-07-14 2:36,2020-07-14 2:37,30391,64,-55
2020-07-14 2:37,2020-07-14 2:37,30378,33,-31
