Start,Stop,Proximity,Session,RSSI
2020-07-13 15:27,2020-07-13 15:27,30386,0,-84
2020-07-13 15:48,2020-07-13 15:48,30386,12,47
2020-07-13 15:51,2020-07-13 15:51,30386,0,-85
2020-07-13 15:56,2020-07-13 15:56,30386,0,-79
2020-07-13 15:59,2020-07-13 16:00,30386,86,-30
2020-07-13 16:00,2020-07-13 16:00,30389,0,-83
2020-07-13 16:26,2020-07-13 16:26,30389,28,45
2020-07-13 16:26,2020-07-13 16:27,30386,57,2
2020-07-13 16:36,2020-07-13 16:37,30384,45,4
2020-07-13 16:36,2020-07-13 16:36,30389,6,47
2020-07-13 16:39,2020-07-13 16:39,30386,12,-27
2020-07-13 16:41,2020-07-13 16:42,30384,58,47
2020-07-13 16:43,2020-07-13 16:43,30386,0,-83
2020-07-13 16:48,2020-07-13 16:48,30386,3,47
2020-07-13 16:54,2020-07-13 16:55,30386,20,2
2020-07-13 16:56,2020-07-13 16:56,30386,3,44
2020-07-13 16:58,2020-07-13 16:59,30386,73,-51
2020-07-13 16:58,2020-07-13 17:02,30384,228,-63
2020-07-13 17:00,2020-07-13 17:02,30386,120,-68
2020-07-13 17:05,2020-07-13 17:05,30391,6,5
2020-07-13 17:13,2020-07-13 17:13,30384,9,45
2020-07-13 17:17,2020-07-13 17:17,30386,3,50
2020-07-13 17:18,2020-07-13 17:19,30386,79,-56
2020-07-13 17:21,2020-07-13 17:22,30386,57,-31
2020-07-13 17:23,2020-07-13 17:24,30389,49,6
2020-07-13 17:24,2020-07-13 17:24,30386,0,-84
2020-07-13 17:26,2020-07-13 17:26,30384,30,-32
2020-07-13 17:27,2020-07-13 17:28,30387,82,-68
2020-07-13 17:27,2020-07-13 17:29,30386,102,-63
2020-07-13 17:30,2020-07-13 17:30,30389,0,-78
2020-07-13 17:31,2020-07-13 17:31,30389,27,5
2020-07-13 17:33,2020-07-13 17:33,30389,0,-81
2020-07-13 17:33,2020-07-13 17:34,30387,33,-29
2020-07-13 17:34,2020-07-13 17:34,30386,0,-78
2020-07-13 17:34,2020-07-13 17:34,30384,6,46
2020-07-13 17:37,2020-07-13 17:37,30384,15,-18
2020-07-13 17:36,2020-07-13 17:38,30386,123,-39
2020-07-13 17:37,2020-07-13 17:38,30389,61,-14
2020-07-13 17:38,2020-07-13 17:38,30387,21,-18
2020-07-13 17:40,2020-07-13 17:40,30387,9,-13
2020-07-13 17:40,2020-07-13 17:41,30386,60,7
2020-07-13 17:42,2020-07-13 17:42,30384,0,-81
2020-07-13 17:42,2020-07-13 17:42,30387,0,-83
2020-07-13 17:44,2020-07-13 17:44,30389,6,6
2020-07-13 17:46,2020-07-13 17:46,30386,3,48
2020-07-13 17:46,2020-07-13 17:46,30389,15,47
2020-07-13 17:47,2020-07-13 17:47,30387,0,-84
2020-07-13 17:48,2020-07-13 17:48,30389,9,56
2020-07-13 17:47,2020-07-13 17:49,30386,96,-59
2020-07-13 17:48,2020-07-13 17:49,30387,33,-19
2020-07-13 17:50,2020-07-13 17:52,30384,91,-59
2020-07-13 17:50,2020-07-13 17:53,30386,151,-68
2020-07-13 17:53,2020-07-13 17:54,30387,94,-59
2020-07-13 17:54,2020-07-13 17:54,30386,0,-82
2020-07-13 17:56,2020-07-13 17:56,30389,0,-82
2020-07-13 18:01,2020-07-13 18:04,30387,203,-71
2020-07-13 18:06,2020-07-13 18:07,30387,96,-63
2020-07-13 18:12,2020-07-13 18:12,30389,0,-83
2020-07-13 18:11,2020-07-13 18:13,30386,102,-59
2020-07-13 18:13,2020-07-13 18:13,30385,6,46
2020-07-13 18:13,2020-07-13 18:13,30384,24,-52
2020-07-13 18:14,2020-07-13 18:14,30389,15,2
2020-07-13 18:14,2020-07-13 18:15,30385,65,-19
2020-07-13 18:15,2020-07-13 18:17,30386,119,-64
2020-07-13 18:17,2020-07-13 18:17,30387,12,51
2020-07-13 18:20,2020-07-13 18:20,30389,0,-78
2020-07-13 18:22,2020-07-13 18:24,30386,124,-69
2020-07-13 18:25,2020-07-13 18:26,30384,22,-31
2020-07-13 18:27,2020-07-13 18:27,30389,15,-27
2020-07-13 18:26,2020-07-13 18:31,30387,253,-73
2020-07-13 18:29,2020-07-13 18:31,30389,104,-45
2020-07-13 18:30,2020-07-13 18:31,30386,39,-40
2020-07-13 18:30,2020-07-13 18:30,30384,0,-81
2020-07-13 18:32,2020-07-13 18:32,30384,3,45
2020-07-13 18:35,2020-07-13 18:35,30386,3,49
2020-07-13 18:36,2020-07-13 18:36,30386,0,-81
2020-07-13 18:37,2020-07-13 18:37,30384,18,-35
2020-07-13 18:35,2020-07-13 18:38,30387,193,-67
2020-07-13 18:38,2020-07-13 18:38,30385,0,-81
2020-07-13 18:39,2020-07-13 18:39,30384,0,-76
2020-07-13 18:39,2020-07-13 18:39,30385,21,47
2020-07-13 18:40,2020-07-13 18:40,30387,40,46
2020-07-13 18:42,2020-07-13 18:42,30384,0,-83
2020-07-13 18:42,2020-07-13 18:42,30389,0,-81
2020-07-13 18:42,2020-07-13 18:42,30387,28,-39
2020-07-13 18:42,2020-07-13 18:45,30385,146,-55
2020-07-13 18:44,2020-07-13 18:44,30384,30,-39
2020-07-13 18:45,2020-07-13 18:45,30389,0,-82
2020-07-13 18:47,2020-07-13 18:47,30389,0,-78
2020-07-13 18:51,2020-07-13 18:52,30384,33,-30
2020-07-13 18:52,2020-07-13 18:52,30389,6,46
2020-07-13 18:53,2020-07-13 18:53,30385,0,-80
2020-07-13 19:01,2020-07-13 19:02,30387,45,-51
2020-07-13 19:08,2020-07-13 19:09,30387,21,-17
2020-07-13 19:11,2020-07-13 19:11,30385,13,53
2020-07-13 19:14,2020-07-13 19:14,30389,9,4
2020-07-13 19:14,2020-07-13 19:14,30384,3,45
2020-07-13 19:16,2020-07-13 19:16,30384,9,50
2020-07-13 19:16,2020-07-13 19:17,30389,52,51
2020-07-13 19:17,2020-07-13 19:17,30384,0,-83
2020-07-13 19:18,2020-07-13 19:18,30387,6,5
2020-07-13 19:18,2020-07-13 19:18,30384,0,-84
2020-07-13 19:20,2020-07-13 19:21,30384,57,-21
2020-07-13 19:21,2020-07-13 19:26,30387,337,-75
2020-07-13 19:25,2020-07-13 19:27,30384,87,-60
2020-07-13 19:26,2020-07-13 19:26,30385,0,-78
2020-07-13 19:34,2020-07-13 19:34,30387,0,-83
2020-07-13 19:35,2020-07-13 19:35,30386,0,-83
2020-07-13 19:35,2020-07-13 19:35,30385,12,7
2020-07-13 20:27,2020-07-13 20:27,30384,0,-83
2020-07-13 20:31,2020-07-13 20:31,30389,3,51
2020-07-13 20:34,2020-07-13 20:34,30384,6,5
2020-07-13 20:36,2020-07-13 20:36,30384,0,-82
2020-07-13 20:39,2020-07-13 20:39,30390,0,-82
2020-07-13 20:41,2020-07-13 20:41,30386,0,-84
2020-07-13 20:42,2020-07-13 20:42,30390,3,45
2020-07-13 20:48,2020-07-13 20:48,30381,27,4
2020-07-13 20:51,2020-07-13 20:54,30381,190,-69
2020-07-13 20:57,2020-07-13 20:58,30381,52,-59
2020-07-13 21:20,2020-07-13 21:20,30384,6,3
2020-07-13 21:21,2020-07-13 21:21,30384,39,45
2020-07-13 21:23,2020-07-13 21:23,30384,0,-82
2020-07-13 21:38,2020-07-13 21:38,30387,0,-82
2020-07-13 21:41,2020-07-13 21:43,30387,121,-66
2020-07-13 21:51,2020-07-13 21:51,30385,18,-16
2020-07-13 21:53,2020-07-13 21:53,30391,0,-81
2020-07-13 21:57,2020-07-13 21:57,30391,0,-78
2020-07-13 21:58,2020-07-13 21:58,30390,12,2
2020-07-13 21:59,2020-07-13 21:59,30391,3,45
2020-07-13 22:00,2020-07-13 22:00,30390,0,-75
2020-07-13 22:09,2020-07-13 22:10,30391,59,-26
2020-07-13 22:11,2020-07-13 22:11,30390,18,43
2020-07-13 22:22,2020-07-13 22:24,30390,162,-72
2020-07-13 22:26,2020-07-13 22:29,30390,166,-70
2020-07-13 22:29,2020-07-13 22:29,30389,3,-71
2020-07-13 22:31,2020-07-13 22:31,30389,0,-79
2020-07-13 22:35,2020-07-13 22:36,30387,70,-63
2020-07-13 22:36,2020-07-13 22:36,30390,0,-77
2020-07-13 22:57,2020-07-13 22:57,30389,0,-79
2020-07-13 23:02,2020-07-13 23:02,30381,0,-83
2020-07-13 23:02,2020-07-13 23:02,30389,3,44
2020-07-13 23:08,2020-07-13 23:08,30384,6,4
2020-07-13 23:20,2020-07-13 23:21,30382,33,-17
2020-07-13 23:23,2020-07-13 23:23,30382,0,-81
2020-07-13 23:24,2020-07-13 23:24,30387,0,-82
2020-07-13 23:39,2020-07-13 23:39,30384,0,-78
2020-07-13 23:39,2020-07-13 23:39,30387,0,-87
2020-07-13 23:44,2020-07-13 23:45,30381,61,-53
2020-07-13 23:46,2020-07-13 23:46,30378,0,-81
2020-07-13 23:56,2020-07-13 23:56,30386,0,-82
2020-07-13 23:59,2020-07-13 23:59,30382,6,3
2020-07-14 0:02,2020-07-14 0:02,30382,15,-15
2020-07-14 0:04,2020-07-14 0:04,30389,0,-84
2020-07-14 0:08,2020-07-14 0:08,30389,3,45
2020-07-14 0:17,2020-07-14 0:17,30391,0,-82
2020-07-14 0:18,2020-07-14 0:18,30391,0,-81
2020-07-14 0:20,2020-07-14 0:20,30385,0,-81
2020-07-14 0:23,2020-07-14 0:24,30385,51,-48
2020-07-14 0:24,2020-07-14 0:24,30387,18,-31
2020-07-14 0:27,2020-07-14 0:27,30389,27,3
2020-07-14 0:28,2020-07-14 0:29,30389,15,-20
2020-07-14 0:36,2020-07-14 0:36,30385,12,44
2020-07-14 0:41,2020-07-14 0:42,30389,75,-45
2020-07-14 0:42,2020-07-14 0:42,30386,0,-85
2020-07-14 0:43,2020-07-14 0:43,30385,0,-81
2020-07-14 1:09,2020-07-14 1:10,30378,39,-53
2020-07-14 1:11,2020-07-14 1:11,30389,0,-79
2020-07-14 1:13,2020-07-14 1:13,30389,43,5
2020-07-14 1:14,2020-07-14 1:14,30380,0,-85
2020-07-14 1:15,2020-07-14 1:15,30382,0,-85
2020-07-14 1:15,2020-07-14 1:15,30389,12,52
2020-07-14 1:17,2020-07-14 1:17,30380,0,-84
2020-07-14 1:11,2020-07-14 1:17,30378,336,-74
2020-07-14 1:17,2020-07-14 1:18,30389,106,-32
2020-07-14 1:18,2020-07-14 1:18,30382,15,-20
2020-07-14 1:18,2020-07-14 1:19,30380,82,-52
2020-07-14 1:20,2020-07-14 1:20,30382,45,-46
2020-07-14 1:21,2020-07-14 1:21,30389,0,-79
2020-07-14 1:22,2020-07-14 1:22,30382,24,43
2020-07-14 1:23,2020-07-14 1:24,30380,42,2
2020-07-14 1:25,2020-07-14 1:26,30382,61,0
2020-07-14 1:19,2020-07-14 1:27,30378,528,-75
2020-07-14 1:27,2020-07-14 1:29,30380,106,-61
2020-07-14 1:29,2020-07-14 1:31,30378,119,-62
2020-07-14 1:32,2020-07-14 1:32,30378,19,47
2020-07-14 1:33,2020-07-14 1:33,30389,0,-82
2020-07-14 1:34,2020-07-14 1:34,30378,0,-79
2020-07-14 1:32,2020-07-14 1:34,30380,154,-72
2020-07-14 1:35,2020-07-14 1:36,30389,43,51
2020-07-14 1:37,2020-07-14 1:37,30389,0,-71
