"Date","Expected_Fixes","On_Time_Fix","No_fix","Early_Fix","Late_Fix","Percent_No_Fix_to_Total","Per_Missing__to_Expected_Fix"
"2020-06-18",0,0,0,0,0,"0","0"
"2020-06-19",0,0,0,0,0,"0","0"
"2020-06-20",0,0,0,0,0,"0","0"
"2020-06-21",0,0,0,0,0,"0","0"
"2020-06-22",0,0,0,0,0,"0","0"
"2020-06-23",0,0,0,0,0,"0","0"
"2020-06-24",0,0,0,0,0,"0","0"
"2020-06-25",0,0,0,0,0,"0","0"
"2020-06-26",0,0,0,0,0,"0","0"
"2020-06-27",0,0,0,0,0,"0","0"
"2020-06-28",0,0,0,0,0,"0","0"
"2020-06-29",0,0,0,0,0,"0","0"
"2020-06-30",0,0,0,0,0,"0","0"
"2020-07-01",0,0,0,0,0,"0","0"
"2020-07-02",0,0,0,0,0,"0","0"
"2020-07-03",0,0,0,0,0,"0","0"
"2020-07-04",0,0,0,0,0,"0","0"
"2020-07-05",0,0,0,0,0,"0","0"
"2020-07-06",0,0,0,0,0,"0","0"
"2020-07-07",0,0,0,0,0,"0","0"
"2020-07-08",0,0,0,0,0,"0","0"
"2020-07-09",0,0,0,0,0,"0","0"
"2020-07-10",0,0,0,0,0,"0","0"
"2020-07-11",0,0,0,0,0,"0","0"
"2020-07-12",0,0,0,0,0,"0","0"
"2020-07-13",288,127,0,2,0,"0 %","55.2083333333333 %"
"2020-07-14",288,282,2,10,0,"0.684931506849315 %","-1.38888888888889 %"
"2020-07-15",288,284,1,10,0,"0.340136054421769 %","-2.08333333333333 %"
"2020-07-16",288,286,0,4,0,"0 %","-0.694444444444444 %"
"2020-07-17",288,225,0,18,2,"0 %","14.9305555555556 %"
"2020-07-18",288,246,5,6,2,"1.96850393700787 %","11.8055555555556 %"
"2020-07-19",288,236,9,11,0,"3.64372469635628 %","14.2361111111111 %"
"2020-07-20",288,218,0,13,2,"0 %","19.0972222222222 %"
"2020-07-21",288,264,1,15,0,"0.3584229390681 %","3.125 %"
"2020-07-22",288,273,0,7,0,"0 %","2.77777777777778 %"
"2020-07-23",288,261,1,4,0,"0.377358490566038 %","7.98611111111111 %"
"2020-07-24",288,288,0,0,0,"0 %","0 %"
"2020-07-25",288,286,0,0,0,"0 %","0.694444444444444 %"
"2020-07-26",288,288,0,1,0,"0 %","-0.347222222222222 %"
"2020-07-27",288,282,1,4,1,"0.348432055749129 %","0.347222222222222 %"
"2020-07-28",288,267,1,12,2,"0.355871886120996 %","2.43055555555556 %"
"2020-07-29",288,254,0,23,1,"0 %","3.47222222222222 %"
"2020-07-30",288,244,4,9,1,"1.5748031496063 %","11.8055555555556 %"
"2020-07-31",288,197,12,16,3,"5.55555555555556 %","25 %"
"2020-08-01",288,240,6,24,0,"2.27272727272727 %","8.33333333333333 %"
"2020-08-02",288,244,1,10,0,"0.393700787401575 %","11.8055555555556 %"
"2020-08-03",288,274,1,8,1,"0.353356890459364 %","1.73611111111111 %"
"2020-08-04",288,270,0,3,0,"0 %","5.20833333333333 %"
"2020-08-05",288,273,1,13,0,"0.34965034965035 %","0.694444444444444 %"
"2020-08-06",288,267,1,9,1,"0.36101083032491 %","3.81944444444444 %"
"2020-08-07",288,260,1,7,0,"0.374531835205993 %","7.29166666666667 %"
"2020-08-08",288,253,0,14,0,"0 %","7.29166666666667 %"
"2020-08-09",288,248,0,14,4,"0 %","7.63888888888889 %"
"2020-08-10",288,276,1,5,0,"0.355871886120996 %","2.43055555555556 %"
"2020-08-11",288,251,0,2,1,"0 %","11.8055555555556 %"
"2020-08-12",288,281,0,6,0,"0 %","0.347222222222222 %"
"2020-08-13",288,278,1,5,0,"0.353356890459364 %","1.73611111111111 %"
"2020-08-14",288,273,0,11,0,"0 %","1.38888888888889 %"
"2020-08-15",288,227,1,5,0,"0.431034482758621 %","19.4444444444444 %"
"2020-08-16",288,220,0,19,0,"0 %","17.0138888888889 %"
"2020-08-17",288,250,2,10,0,"0.769230769230769 %","9.72222222222222 %"
"2020-08-18",288,268,0,8,0,"0 %","4.16666666666667 %"
"2020-08-19",288,241,0,14,0,"0 %","11.4583333333333 %"
"2020-08-20",288,246,0,9,0,"0 %","11.4583333333333 %"
"2020-08-21",288,236,1,9,0,"0.408163265306122 %","14.9305555555556 %"
"2020-08-22",288,271,0,10,0,"0 %","2.43055555555556 %"
"2020-08-23",288,279,0,7,0,"0 %","0.694444444444444 %"
"2020-08-24",288,262,0,13,4,"0 %","3.125 %"
"2020-08-25",288,189,0,5,1,"0 %","32.2916666666667 %"
"2020-08-26",288,259,0,11,1,"0 %","5.90277777777778 %"
"2020-08-27",288,254,1,9,1,"0.378787878787879 %","8.33333333333333 %"
"2020-08-28",288,248,2,11,1,"0.769230769230769 %","9.72222222222222 %"
"2020-08-29",288,269,0,19,1,"0 %","-0.347222222222222 %"
"2020-08-30",288,239,1,7,0,"0.40650406504065 %","14.5833333333333 %"
"2020-08-31",288,205,0,14,1,"0 %","23.6111111111111 %"
"2020-09-01",288,262,0,5,0,"0 %","7.29166666666667 %"
"2020-09-02",288,275,0,6,1,"0 %","2.08333333333333 %"
"2020-09-03",288,277,2,8,0,"0.701754385964912 %","1.04166666666667 %"
"2020-09-04",288,278,1,9,0,"0.348432055749129 %","0.347222222222222 %"
"2020-09-05",288,235,0,8,3,"0 %","14.5833333333333 %"
"2020-09-06",288,265,0,2,0,"0 %","7.29166666666667 %"
"2020-09-07",288,278,0,7,0,"0 %","1.04166666666667 %"
"2020-09-08",288,262,0,12,0,"0 %","4.86111111111111 %"
"2020-09-09",288,248,0,5,1,"0 %","11.8055555555556 %"
"2020-09-10",288,238,0,10,0,"0 %","13.8888888888889 %"
"2020-09-11",288,181,2,6,0,"1.06951871657754 %","35.0694444444444 %"
"2020-09-12",288,278,0,3,0,"0 %","2.43055555555556 %"
"2020-09-13",288,264,0,7,0,"0 %","5.90277777777778 %"
"2020-09-14",288,239,0,10,0,"0 %","13.5416666666667 %"
"2020-09-15",288,191,0,14,0,"0 %","28.8194444444444 %"
"2020-09-16",0,0,0,0,0,"0","0"
