"Date","Expected_Fixes","On_Time_Fix","No_fix","Early_Fix","Late_Fix","Percent_No_Fix_to_Total","Per_Missing__to_Expected_Fix"
"2020-06-18",0,0,0,0,0,"0","0"
"2020-06-19",0,0,0,0,0,"0","0"
"2020-06-20",0,0,0,0,0,"0","0"
"2020-06-21",0,0,0,0,0,"0","0"
"2020-06-22",0,0,0,0,0,"0","0"
"2020-06-23",0,0,0,0,0,"0","0"
"2020-06-24",0,0,0,0,0,"0","0"
"2020-06-25",0,0,0,0,0,"0","0"
"2020-06-26",0,0,0,0,0,"0","0"
"2020-06-27",0,0,0,0,0,"0","0"
"2020-06-28",0,0,0,0,0,"0","0"
"2020-06-29",0,0,0,0,0,"0","0"
"2020-06-30",0,0,0,0,0,"0","0"
"2020-07-01",0,0,0,0,0,"0","0"
"2020-07-02",0,0,0,0,0,"0","0"
"2020-07-03",0,0,0,0,0,"0","0"
"2020-07-04",0,0,0,0,0,"0","0"
"2020-07-05",0,0,0,0,0,"0","0"
"2020-07-06",0,0,0,0,0,"0","0"
"2020-07-07",0,0,0,0,0,"0","0"
"2020-07-08",0,0,0,0,0,"0","0"
"2020-07-09",0,0,0,0,0,"0","0"
"2020-07-10",0,0,0,0,0,"0","0"
"2020-07-11",0,0,0,0,0,"0","0"
"2020-07-12",0,0,0,0,0,"0","0"
"2020-07-13",288,151,18,1,0,"11.8421052631579 %","47.2222222222222 %"
"2020-07-14",288,274,9,6,3,"3.18021201413428 %","1.73611111111111 %"
"2020-07-15",288,269,13,11,1,"4.62633451957295 %","2.43055555555556 %"
"2020-07-16",288,242,35,11,0,"13.8339920948617 %","12.1527777777778 %"
"2020-07-17",288,226,2,26,1,"0.790513833992095 %","12.1527777777778 %"
"2020-07-18",288,245,0,16,1,"0 %","9.02777777777778 %"
"2020-07-19",288,195,1,13,1,"0.478468899521531 %","27.4305555555556 %"
"2020-07-20",288,142,4,28,2,"2.32558139534884 %","40.2777777777778 %"
"2020-07-21",288,148,9,28,1,"5.08474576271187 %","38.5416666666667 %"
"2020-07-22",288,233,1,22,1,"0.390625 %","11.1111111111111 %"
"2020-07-23",288,125,0,22,0,"0 %","48.9583333333333 %"
"2020-07-24",288,201,4,37,3,"1.6597510373444 %","16.3194444444444 %"
"2020-07-25",288,161,0,14,1,"0 %","38.8888888888889 %"
"2020-07-26",288,220,0,16,0,"0 %","18.0555555555556 %"
"2020-07-27",288,284,1,8,0,"0.342465753424658 %","-1.38888888888889 %"
"2020-07-28",288,265,1,18,2,"0.350877192982456 %","1.04166666666667 %"
"2020-07-29",288,165,0,40,1,"0 %","28.4722222222222 %"
"2020-07-30",288,248,1,27,2,"0.36101083032491 %","3.81944444444444 %"
"2020-07-31",288,222,0,6,0,"0 %","20.8333333333333 %"
"2020-08-01",288,252,0,22,0,"0 %","4.86111111111111 %"
"2020-08-02",288,261,0,14,0,"0 %","4.51388888888889 %"
"2020-08-03",288,213,0,24,0,"0 %","17.7083333333333 %"
"2020-08-04",288,130,0,3,1,"0 %","53.4722222222222 %"
"2020-08-05",288,180,0,15,1,"0 %","31.9444444444444 %"
"2020-08-06",288,216,0,13,1,"0 %","20.1388888888889 %"
"2020-08-07",288,253,0,8,0,"0 %","9.375 %"
"2020-08-08",288,267,0,7,0,"0 %","4.86111111111111 %"
"2020-08-09",288,237,1,19,1,"0.389105058365759 %","10.7638888888889 %"
"2020-08-10",288,263,0,13,0,"0 %","4.16666666666667 %"
"2020-08-11",288,255,1,20,1,"0.36231884057971 %","4.16666666666667 %"
"2020-08-12",288,270,1,16,0,"0.34965034965035 %","0.694444444444444 %"
"2020-08-13",288,271,1,7,1,"0.3584229390681 %","3.125 %"
"2020-08-14",288,226,1,23,2,"0.398406374501992 %","12.8472222222222 %"
"2020-08-15",288,220,0,20,2,"0 %","15.9722222222222 %"
"2020-08-16",288,284,0,5,0,"0 %","-0.347222222222222 %"
"2020-08-17",288,286,0,3,0,"0 %","-0.347222222222222 %"
"2020-08-18",288,280,0,5,0,"0 %","1.04166666666667 %"
"2020-08-19",288,267,1,9,0,"0.36231884057971 %","4.16666666666667 %"
"2020-08-20",288,276,0,6,0,"0 %","2.08333333333333 %"
"2020-08-21",288,270,0,11,0,"0 %","2.43055555555556 %"
"2020-08-22",288,249,0,12,2,"0 %","8.68055555555556 %"
"2020-08-23",288,184,8,19,1,"3.92156862745098 %","29.1666666666667 %"
"2020-08-24",288,204,1,7,0,"0.4739336492891 %","26.7361111111111 %"
"2020-08-25",288,199,0,5,0,"0 %","29.1666666666667 %"
"2020-08-26",288,148,2,10,0,"1.26582278481013 %","45.1388888888889 %"
"2020-08-27",288,258,3,5,0,"1.14068441064639 %","8.68055555555556 %"
"2020-08-28",288,251,2,7,0,"0.775193798449612 %","10.4166666666667 %"
"2020-08-29",288,257,1,16,0,"0.366300366300366 %","5.20833333333333 %"
"2020-08-30",288,281,0,6,0,"0 %","0.347222222222222 %"
"2020-08-31",288,277,0,14,0,"0 %","-1.04166666666667 %"
"2020-09-01",288,238,1,2,0,"0.416666666666667 %","16.6666666666667 %"
"2020-09-02",288,249,0,5,2,"0 %","11.1111111111111 %"
"2020-09-03",288,217,0,1,0,"0 %","24.3055555555556 %"
"2020-09-04",288,118,0,10,0,"0 %","55.5555555555556 %"
"2020-09-05",288,144,0,8,0,"0 %","47.2222222222222 %"
"2020-09-06",288,212,2,7,0,"0.91324200913242 %","23.9583333333333 %"
"2020-09-07",288,88,0,5,0,"0 %","67.7083333333333 %"
"2020-09-08",288,286,1,3,0,"0.346020761245675 %","-0.347222222222222 %"
"2020-09-09",288,280,0,8,0,"0 %","0 %"
"2020-09-10",288,281,0,8,0,"0 %","-0.347222222222222 %"
"2020-09-11",288,281,0,7,0,"0 %","0 %"
"2020-09-12",288,223,1,7,0,"0.434782608695652 %","20.1388888888889 %"
"2020-09-13",288,196,1,3,0,"0.50251256281407 %","30.9027777777778 %"
"2020-09-14",288,151,0,15,0,"0 %","42.3611111111111 %"
"2020-09-15",288,175,0,21,0,"0 %","31.9444444444444 %"
"2020-09-16",288,241,10,5,0,"4.0650406504065 %","14.5833333333333 %"
