"Date","Expected_Fixes","On_Time_Fix","No_fix","Early_Fix","Late_Fix","Avg_Speed_Day","Avg_Speed_Night","Out_of_Bounds","Percent_No_Fix_to_Total","Per_Missing__to_Expected_Fix"
"2020-07-13",120,115,3,0,0,NA,0.0676592279527586,3,"2.60869565217391 %","4.16666666666667 %"
"2020-07-14",288,288,0,0,0,0.16945285698134,0.193137887038553,0,"0 %","0 %"
"2020-07-15",288,287,0,1,0,0.146826751545901,0.178402239909488,0,"0 %","0 %"
"2020-07-16",288,287,0,0,1,0.15935430361042,0.16272695225337,0,"0 %","0 %"
"2020-07-17",288,288,0,0,0,0.194079068701857,0.15878039532857,0,"0 %","0 %"
"2020-07-18",288,285,1,0,0,0.137469107039669,0.120572342779564,1,"0.350877192982456 %","1.04166666666667 %"
"2020-07-19",288,286,0,1,0,0.119792056872339,0.120193990216235,0,"0 %","0.347222222222222 %"
"2020-07-20",288,288,0,0,0,0.113938925853864,0.155173669357268,0,"0 %","0 %"
"2020-07-21",288,288,0,0,0,0.146419904483473,0.129384147324582,0,"0 %","0 %"
"2020-07-22",288,284,1,0,0,0.127368074142086,0.123242130171372,3,"0.352112676056338 %","1.38888888888889 %"
"2020-07-23",288,286,0,0,1,0.0924468740118992,0.130221592614802,0,"0 %","0.347222222222222 %"
"2020-07-24",288,285,0,0,0,0.221821367197368,0.129083224403599,0,"0 %","1.04166666666667 %"
"2020-07-25",288,288,0,0,0,0.131109061902236,0.100503039784364,0,"0 %","0 %"
"2020-07-26",288,289,0,0,0,0.14716407345406,0.124921487180556,0,"0 %","-0.347222222222222 %"
"2020-07-27",288,287,0,0,0,0.0954267754633491,0.0903566159050232,0,"0 %","0.347222222222222 %"
"2020-07-28",288,286,0,0,0,0.115185756665052,0.16717858228168,0,"0 %","0.694444444444444 %"
"2020-07-29",288,286,1,0,0,0.143827141748999,0.0928089897396596,1,"0.34965034965035 %","0.694444444444444 %"
"2020-07-30",288,289,0,0,0,0.144172804269839,0.141159774190954,0,"0 %","-0.347222222222222 %"
"2020-07-31",288,282,2,0,3,0.0950688081378188,0.246743624901502,1,"0.701754385964912 %","1.04166666666667 %"
"2020-08-01",288,283,0,0,0,0.101032379926189,0.102376814195133,0,"0 %","1.73611111111111 %"
"2020-08-02",288,284,0,0,0,0.144044802582747,0.0788086096598486,2,"0 %","1.38888888888889 %"
"2020-08-03",288,286,0,2,0,0.21928979892758,0.0811551479609033,0,"0 %","0 %"
"2020-08-04",288,286,1,0,0,0.0958073579437395,0.0873120618445669,1,"0.34965034965035 %","0.694444444444444 %"
"2020-08-05",288,288,0,0,0,0.0880509523406679,0.101547557387838,0,"0 %","0 %"
"2020-08-06",288,288,0,0,0,0.108799726706389,0.0691717557397241,0,"0 %","0 %"
"2020-08-07",288,289,0,0,0,0.0759922510311644,0.043377419608348,0,"0 %","-0.347222222222222 %"
"2020-08-08",288,285,0,0,1,0.113652751688544,0.14158843703478,2,"0 %","0.694444444444444 %"
"2020-08-09",288,287,0,0,0,0.100176352126096,0.118691059457923,0,"0 %","0.347222222222222 %"
