"Date","Expected_Fixes","On_Time_Fix","No_fix","Early_Fix","Late_Fix","Avg_Speed_Day","Avg_Speed_Night","Out_of_Bounds","Percent_No_Fix_to_Total","Per_Missing__to_Expected_Fix"
"2020-07-13",168,146,18,0,0,NA,0.0751622145453735,5,"12.3287671232877 %","13.0952380952381 %"
"2020-07-14",288,269,9,2,3,0.19648570872202,0.316078223097918,5,"3.28467153284672 %","4.86111111111111 %"
"2020-07-15",288,268,13,1,1,0.251218867548406,0.309022472822466,3,"4.81481481481481 %","6.25 %"
"2020-07-16",288,234,33,1,0,0.21309525481694,0.110632449197378,10,"14.0425531914894 %","18.4027777777778 %"
"2020-07-17",288,225,2,11,2,0.142417138952246,NA,2,"0.840336134453782 %","17.3611111111111 %"
"2020-07-18",288,247,0,4,1,0.0826562395767833,0.0591075877530008,0,"0 %","12.5 %"
"2020-07-19",288,191,1,5,2,0.151240194069979,0.0869503561599044,1,"0.505050505050505 %","31.25 %"
"2020-07-20",288,142,3,10,2,0.140405785878031,0.0865982214433169,1,"1.94805194805195 %","46.5277777777778 %"
"2020-07-21",288,150,5,6,1,0.165076710469857,0.115166845201413,2,"3.18471337579618 %","45.4861111111111 %"
"2020-07-22",288,237,1,7,1,0.152694525192954,0.103523553885141,0,"0.408163265306122 %","14.9305555555556 %"
"2020-07-23",288,128,0,6,0,NA,0.36223194506739,0,"0 %","53.4722222222222 %"
"2020-07-24",288,203,2,12,3,0.179551408194035,0.373643982075359,2,"0.917431192660551 %","24.3055555555556 %"
"2020-07-25",288,161,0,6,1,NA,0.112712859565012,0,"0 %","41.6666666666667 %"
"2020-07-26",288,221,0,3,1,0.100516027833355,0.117297467945475,0,"0 %","21.875 %"
"2020-07-27",288,286,1,1,0,0.0815209161618341,0.229397766481602,1,"0.348432055749129 %","0.347222222222222 %"
"2020-07-28",288,267,1,2,1,0.223898465328904,0.165367983433299,1,"0.37037037037037 %","6.25 %"
"2020-07-29",288,173,0,13,1,0.272326444456628,0.239474271621321,0,"0 %","35.0694444444444 %"
"2020-07-30",288,255,0,8,2,0.099294454420844,0.268624086587211,0,"0 %","7.98611111111111 %"
"2020-07-31",288,222,0,2,0,0.0770726284587994,0.0618350805194607,0,"0 %","22.2222222222222 %"
"2020-08-01",288,253,0,9,0,0.0935609631797218,0.0720358825902321,0,"0 %","9.02777777777778 %"
"2020-08-02",288,262,0,4,1,0.0974874834059561,0.0612683059056794,0,"0 %","7.29166666666667 %"
"2020-08-03",288,211,0,7,2,NA,0.0806041089382989,1,"0 %","23.6111111111111 %"
"2020-08-04",288,131,0,0,1,NA,NA,0,"0 %","54.1666666666667 %"
"2020-08-05",288,182,0,6,1,0.115150605526966,0.0973980731925532,0,"0 %","34.375 %"
"2020-08-06",288,219,0,4,1,NA,0.117687535536531,0,"0 %","22.2222222222222 %"
"2020-08-07",288,255,0,2,0,0.0670419265772488,0.0430557031897269,0,"0 %","10.7638888888889 %"
"2020-08-08",288,269,0,0,0,0.0877510261080226,0.17122017928232,0,"0 %","6.59722222222222 %"
"2020-08-09",288,235,1,6,1,0.119799127663808,0.0673324009093928,3,"0.413223140495868 %","15.9722222222222 %"
"2020-08-10",288,265,0,3,0,0.0653042472783303,0.382244355099374,0,"0 %","6.94444444444444 %"
"2020-08-11",288,259,0,5,1,0.133120275785028,0.162945965434773,0,"0 %","7.98611111111111 %"
"2020-08-12",288,272,0,2,0,0.142095092185071,0.111914756121246,0,"0 %","4.86111111111111 %"
"2020-08-13",288,268,1,1,1,0.104137321463157,0.0612688227883719,1,"0.37037037037037 %","6.25 %"
"2020-08-14",288,225,0,5,2,0.0735496680593924,0.0810161809048686,2,"0 %","19.4444444444444 %"
"2020-08-15",288,224,0,6,2,NA,0.0731735368120392,0,"0 %","19.4444444444444 %"
"2020-08-16",288,285,0,1,0,0.0643804929706975,0.0594583363469587,0,"0 %","0.694444444444444 %"
"2020-08-17",288,286,0,0,0,0.0906047316331831,0.0796493918086448,0,"0 %","0.694444444444444 %"
"2020-08-18",288,282,0,0,0,0.165732303544346,0.0541004831155018,0,"0 %","2.08333333333333 %"
"2020-08-19",288,266,1,7,0,0.104456338807762,0.0773408526216938,1,"0.366300366300366 %","5.20833333333333 %"
"2020-08-20",288,276,0,0,0,0.13714038301505,0.156637041494349,0,"0 %","4.16666666666667 %"
"2020-08-21",288,274,0,1,0,0.0973115181099227,0.0829253808504158,0,"0 %","4.51388888888889 %"
"2020-08-22",288,253,0,3,2,0.158546031391116,0.0538007409145101,0,"0 %","10.4166666666667 %"
"2020-08-23",288,181,7,5,1,0.157237695462165,0.0896324509104656,3,"3.74331550802139 %","35.0694444444444 %"
"2020-08-24",288,203,0,4,0,0.0852661125236193,0.0656099269018115,0,"0 %","28.125 %"
"2020-08-25",288,198,0,4,0,0.142345790158769,0.175685823299367,1,"0 %","29.8611111111111 %"
"2020-08-26",288,147,2,8,0,NA,0.0659820825867322,1,"1.29032258064516 %","46.1805555555556 %"
"2020-08-27",288,252,3,2,0,0.148688976186891,0.0767233458194743,2,"1.18110236220472 %","11.8055555555556 %"
"2020-08-28",288,249,1,1,1,0.139080986091199,0.0378748627310673,1,"0.398406374501992 %","12.8472222222222 %"
"2020-08-29",288,259,0,2,0,0.130203513087554,0.264916611301968,0,"0 %","9.375 %"
"2020-08-30",288,283,0,0,0,0.0843286795776198,0.0419357036030824,0,"0 %","1.73611111111111 %"
"2020-08-31",288,279,0,5,0,0.0853388422148684,0.0573794849483109,0,"0 %","1.38888888888889 %"
"2020-09-01",288,238,1,0,0,0.184089063646943,NA,1,"0.420168067226891 %","17.3611111111111 %"
"2020-09-02",288,249,0,1,2,0.0852810466632181,0.0560647320513281,0,"0 %","12.5 %"
"2020-09-03",288,217,0,0,0,0.0871700925397549,NA,0,"0 %","24.6527777777778 %"
"2020-09-04",288,120,0,4,0,NA,0.060569913787694,0,"0 %","56.9444444444444 %"
"2020-09-05",288,146,0,2,0,NA,0.0641143412430855,0,"0 %","48.6111111111111 %"
"2020-09-06",288,211,2,3,0,0.0635005379143731,0.0415955638672169,2,"0.934579439252336 %","25.6944444444444 %"
"2020-09-07",288,86,0,1,0,NA,0.0496948448133722,2,"0 %","69.7916666666667 %"
"2020-09-08",288,286,1,0,0,0.0832867963944997,0.0473013834758474,1,"0.34965034965035 %","0.694444444444444 %"
"2020-09-09",288,282,0,1,0,0.0715184253511071,0.048179810327764,0,"0 %","1.73611111111111 %"
"2020-09-10",288,281,0,2,0,0.101441838112935,0.0467618305069117,0,"0 %","1.73611111111111 %"
"2020-09-11",288,283,0,1,0,0.0639121831661453,0.0588855637760108,0,"0 %","1.38888888888889 %"
"2020-09-12",288,222,1,3,0,0.106219048740312,0.120318476531028,1,"0.444444444444444 %","21.875 %"
"2020-09-13",288,196,1,1,0,0.0906827435170608,NA,1,"0.50761421319797 %","31.5972222222222 %"
"2020-09-14",288,151,0,7,0,NA,0.0286206483216866,0,"0 %","45.1388888888889 %"
"2020-09-15",288,177,0,6,0,NA,0.030454086671802,0,"0 %","36.4583333333333 %"
"2020-09-16",287,233,10,1,0,0.321260799453398,0.578871922698852,10,"4.27350427350427 %","18.4668989547038 %"
