"Date","Percent Expected Recordings","95 Percentile Activities","99 Percentile Activities","99.99 Percentile High Activities"
"2020-06-18",0.719930555555556,0.0737918394906916,0.0118002636571171,0.000835985981158162
"2020-06-19",1,0.0160185185185185,0.0018287037037037,0.000185185185185185
"2020-06-20",1,0.0196527777777778,0.00273148148148148,0.000162037037037037
"2020-06-21",1,0.0238425925925926,0.00368055555555556,0.000300925925925926
"2020-06-22",1,0.0213425925925926,0.00361111111111111,0.00025462962962963
"2020-06-23",1,0.0210185185185185,0.00291666666666667,0.00025462962962963
"2020-06-24",1,0.0144907407407407,0.0019212962962963,6.94444444444444e-05
"2020-06-25",1,0.0212037037037037,0.00412037037037037,0.000300925925925926
"2020-06-26",1,0.10587962962963,0.0163194444444444,0.00229166666666667
"2020-06-27",1,0.033125,0.00752314814814815,0.00131944444444444
"2020-06-28",1,0.00981481481481481,0.00099537037037037,9.25925925925926e-05
"2020-06-29",1,0.0150231481481481,0.00243055555555556,0.00025462962962963
"2020-06-30",1,0.0157175925925926,0.00305555555555556,0.000601851851851852
"2020-07-01",1,0.0165046296296296,0.0025462962962963,0.000208333333333333
"2020-07-02",1,0.0181944444444444,0.00282407407407407,0.000208333333333333
"2020-07-03",1,0.0342592592592593,0.00372685185185185,0.000138888888888889
"2020-07-04",1,0.0515972222222222,0.00782407407407407,0.000185185185185185
"2020-07-05",0.998819444444444,0.0469767549653526,0.00836635843240863,0.000162228556861109
"2020-07-06",1,0.0418055555555556,0.00740740740740741,0.000393518518518519
"2020-07-07",0.953171296296296,0.0432523010418438,0.00733419141753892,0.000194283216358647
"2020-07-08",0.998402777777778,0.0464167304259118,0.00799888711135842,0.000788296121119381
"2020-07-09",0.998773148148148,0.0454956312142211,0.00637356015481957,6.95297471434862e-05
"2020-07-10",0.991736111111111,0.0555516653829097,0.0100599864621992,0.000233410358751721
"2020-07-11",0.998703703703704,0.0467040608195809,0.00843686259966623,0.000162247357685889
"2020-07-12",1,0.0573842592592593,0.00972222222222222,0.000185185185185185
"2020-07-13",0.97787037037037,0.0393665372597292,0.00776441624846132,0.000544456017422593
"2020-07-14",1,0.0638194444444444,0.0153009259259259,0.00125
"2020-07-15",1,0.0512962962962963,0.00960648148148148,0.000625
"2020-07-16",0.998240740740741,0.0546795288006678,0.00936833317874038,0.000486967813746406
"2020-07-17",0.998310185185185,0.0627912908386857,0.0107357339949452,0.000510121269738215
"2020-07-18",1,0.0455787037037037,0.0080787037037037,0.000393518518518519
"2020-07-19",1,0.059837962962963,0.0112268518518519,0.000810185185185185
"2020-07-20",1,0.0502314814814815,0.00872685185185185,0.000393518518518519
"2020-07-21",1,0.049212962962963,0.00886574074074074,0.000300925925925926
"2020-07-22",1,0.0404861111111111,0.00678240740740741,0.000277777777777778
"2020-07-23",1,0.0565046296296296,0.0107638888888889,0.000578703703703704
"2020-07-24",0.99837962962963,0.0633665661952237,0.0157662879666126,0.000881057268722467
"2020-07-25",1,0.055787037037037,0.0102083333333333,0.000300925925925926
"2020-07-26",1,0.0553935185185185,0.0121527777777778,0.000787037037037037
"2020-07-27",1,0.049537037037037,0.00976851851851852,0.000509259259259259
"2020-07-28",1,0.0387268518518519,0.00768518518518519,0.000555555555555556
"2020-07-29",1,0.0341666666666667,0.00604166666666667,9.25925925925926e-05
"2020-07-30",0.979074074074074,0.0482787970493664,0.0141620957064498,0.000591072441838472
"2020-07-31",0.998819444444444,0.0358525110663051,0.00933972977357529,0.000278106097476187
"2020-08-01",0.970717592592593,0.0466197686896387,0.012400143078574,0.000620007153928699
"2020-08-02",1,0.0256712962962963,0.00439814814814815,0
"2020-08-03",0.998425925925926,0.0521886302513215,0.013493461930817,0.000579616062320319
"2020-08-04",0.986990740740741,0.0367512547492847,0.0078333880576012,4.69065153149772e-05
"2020-08-05",1,0.0407638888888889,0.0103472222222222,0.00025462962962963
"2020-08-06",0.983032407407407,0.0502978783526032,0.0120093248875598,0.000376763133727365
"2020-08-07",1,0.0544675925925926,0.0115277777777778,0.00104166666666667
"2020-08-08",0.998078703703704,0.0591645986501844,0.0121761718115824,0.000556624997100912
"2020-08-09",0.977361111111111,0.0669792998910521,0.0157027142248117,0.00135000710530055
"2020-08-10",0.945324074074074,0.0680248787893628,0.0151574513933102,0.000808070914344483
"2020-08-11",0.969467592592593,0.0656861106468327,0.0127504118812827,0.000692438098421719
"2020-08-12",0.995208333333333,0.0583350778033633,0.011792617402833,0.000511711208801433
"2020-08-13",0.839398148148148,0.0698527384038387,0.0142849263692019,0.000827312337984667
"2020-08-14",0.981018518518519,0.0783860311467673,0.0156913638508731,0.000566304860783388
"2020-08-15",0.252523148148148,0.0245668713905949,0.0055917132642772,0.000550004583371528
"2020-08-16",0.600138888888889,0.0724755072128365,0.0144256730695055,0.000308570546941294
"2020-08-17",0.991782407407407,0.0722838137472284,0.0161279029058233,0.000956937799043062
"2020-08-18",1,0.0752546296296296,0.0167592592592593,0.000185185185185185
"2020-08-19",0.938032407407407,0.0841990968092195,0.0219381585766108,0.00212225156084199
"2020-08-20",0.958773148148148,0.0770660807841812,0.0191458026509573,0.00127960597793283
"2020-08-21",0.913518518518519,0.078856679505372,0.016850800729779,0.000329414149604703
"2020-08-22",0.83662037037037,0.07935366056112,0.0202811133860882,0.000719384649438327
"2020-08-23",0.981550925925926,0.0738862816310167,0.0174044289319152,0.000165082659245808
"2020-08-24",0.857777777777778,0.102385578583765,0.0266623488773748,0.00175410189982729
"2020-08-25",0.986851851851852,0.0854522424469882,0.0218145993619816,0.000140739350722462
