"Date","Expected_Fixes","On_Time_Fix","No_fix","Early_Fix","Late_Fix","Avg_Speed_Day","Avg_Speed_Night","Out_of_Bounds","Percent_No_Fix_to_Total","Per_Missing__to_Expected_Fix"
"2020-06-18",126,126,0,1,0,NA,0.0573051300773029,0,"0 %","-0.793650793650794 %"
"2020-06-19",288,286,0,0,0,0.0625331066034987,0.0546216998472386,0,"0 %","0.694444444444444 %"
"2020-06-20",288,284,1,0,0,0.0523632722486115,0.0451287529017231,1,"0.352112676056338 %","1.38888888888889 %"
"2020-06-21",288,288,0,0,0,0.0516982295535124,0.0526596325584545,0,"0 %","0 %"
"2020-06-22",288,271,9,0,0,0.2076748088783,0.0534695019123839,8,"3.3210332103321 %","5.90277777777778 %"
"2020-06-23",288,276,6,0,0,0.0738256495505909,0.0584610634241783,6,"2.17391304347826 %","4.16666666666667 %"
"2020-06-24",288,284,2,0,0,0.0646263727304671,0.072758021732919,2,"0.704225352112676 %","1.38888888888889 %"
"2020-06-25",288,267,14,0,0,0.165552866060508,0.0566143161521652,7,"5.2434456928839 %","7.29166666666667 %"
"2020-06-26",288,207,24,3,0,0.172733855555426,NA,14,"11.4285714285714 %","27.0833333333333 %"
"2020-06-27",288,275,0,3,0,0.0780700766023638,0.0587172692426693,3,"0 %","3.47222222222222 %"
"2020-06-28",288,288,0,0,0,0.0697525547799548,0.0352613649901252,0,"0 %","0 %"
"2020-06-29",288,264,2,5,0,0.0547558447508071,0.0910723053945794,3,"0.743494423791822 %","6.59722222222222 %"
"2020-06-30",288,286,0,0,0,0.0597528651645007,0.0453817948824963,0,"0 %","0.694444444444444 %"
"2020-07-01",288,283,0,5,0,0.0575813857030439,0.0601642609115473,0,"0 %","0 %"
"2020-07-02",288,239,0,7,0,0.0450071413809597,0.0519916244707704,0,"0 %","14.5833333333333 %"
"2020-07-03",288,281,0,2,1,0.0889353376106858,0.0667032823792094,0,"0 %","1.38888888888889 %"
"2020-07-04",288,253,1,3,0,0.0722870567654503,0.0774359945846446,1,"0.390625 %","11.1111111111111 %"
"2020-07-05",288,287,0,2,0,0.0696408769254653,0.0776618355892673,0,"0 %","-0.347222222222222 %"
"2020-07-06",288,288,0,0,0,0.0624916094171433,0.073272601843683,0,"0 %","0 %"
"2020-07-07",288,288,0,0,0,0.0489160224706865,0.0487288485394932,0,"0 %","0 %"
"2020-07-08",288,277,0,2,0,0.065273638860227,0.0854789077098317,0,"0 %","3.125 %"
"2020-07-09",288,216,0,0,0,0.0649743726963611,0.0746934458139189,0,"0 %","25 %"
"2020-07-10",288,208,0,1,0,0.0596656707431176,0.0713459176480551,0,"0 %","27.4305555555556 %"
"2020-07-11",288,249,0,2,0,0.0470111348350337,0.0452142330995432,0,"0 %","12.8472222222222 %"
"2020-07-12",288,232,1,1,0,0.0633379766952899,0.0441422098769605,1,"0.429184549356223 %","19.0972222222222 %"
"2020-07-13",165,101,0,2,0,0.0503770887898427,NA,0,"0 %","37.5757575757576 %"
