"Date","Expected_Fixes","On_Time_Fix","No_fix","Early_Fix","Late_Fix","Avg_Speed_Day","Avg_Speed_Night","Out_of_Bounds","Percent_No_Fix_to_Total","Per_Missing__to_Expected_Fix"
"2020-06-18",90,89,0,1,0,NA,0.0581037565652939,0,"0 %","0 %"
"2020-06-19",288,265,13,0,0,0.124549553449443,0.341725586008995,8,"4.90566037735849 %","7.98611111111111 %"
"2020-06-20",288,228,46,0,0,0.427271097013166,0.0821529813096123,15,"20.1754385964912 %","20.8333333333333 %"
"2020-06-21",288,273,4,3,2,0.101995436815447,0.108686639138786,5,"1.43884892086331 %","3.47222222222222 %"
"2020-06-22",288,282,3,1,0,0.0702225156925086,0.0896331671473582,2,"1.06007067137809 %","1.73611111111111 %"
"2020-06-23",288,252,21,0,2,0.22894942784436,0.194819609035045,13,"8.26771653543307 %","11.8055555555556 %"
"2020-06-24",288,272,7,2,2,0.180816227259564,0.0920536851155837,5,"2.53623188405797 %","4.16666666666667 %"
"2020-06-25",288,274,6,0,0,0.123837594321886,0.0624866335066669,6,"2.18978102189781 %","4.86111111111111 %"
"2020-06-26",288,239,39,0,0,0.284888359646475,0.184253537589432,11,"16.3179916317992 %","17.0138888888889 %"
"2020-06-27",288,264,10,3,0,0.254361646345378,0.0727521769988579,9,"3.74531835205993 %","7.29166666666667 %"
"2020-06-28",288,231,30,2,3,0.370678014462625,0.054607503689642,21,"12.7118644067797 %","18.0555555555556 %"
"2020-06-29",288,268,15,0,0,0.0734539023684226,0.0617423966085186,5,"5.59701492537313 %","6.94444444444444 %"
"2020-06-30",288,279,4,0,0,0.0748139651362791,0.249276236682143,5,"1.4336917562724 %","3.125 %"
"2020-07-01",288,260,18,0,0,0.217244837926025,0.862041999332257,11,"6.92307692307692 %","9.72222222222222 %"
"2020-07-02",288,254,24,0,2,0.189485905212908,0.0661467856955246,8,"9.375 %","11.1111111111111 %"
"2020-07-03",288,282,3,0,0,0.0833643477824688,0.0712872663828916,2,"1.06382978723404 %","2.08333333333333 %"
"2020-07-04",288,275,9,0,0,0.126660140632513,0.0539230366505483,5,"3.27272727272727 %","4.51388888888889 %"
"2020-07-05",288,287,0,0,0,0.0757723153056463,0.0717807725594689,0,"0 %","0.347222222222222 %"
"2020-07-06",288,274,8,1,0,0.162332166869425,0.16559826478653,4,"2.90909090909091 %","4.51388888888889 %"
"2020-07-07",288,276,4,1,1,0.146999097810398,0.0920466119205249,4,"1.43884892086331 %","3.47222222222222 %"
"2020-07-08",288,286,0,1,0,0.0807673467762618,0.122898757392758,0,"0 %","0.347222222222222 %"
"2020-07-09",288,284,1,0,0,0.06258553089088,0.0685861099847189,3,"0.352112676056338 %","1.38888888888889 %"
"2020-07-10",288,265,15,1,0,0.0766688487896997,0.0618520870093686,7,"5.6390977443609 %","7.63888888888889 %"
"2020-07-11",288,265,11,2,5,0.162043595033942,0.0783693225171467,6,"4.04411764705882 %","5.55555555555556 %"
"2020-07-12",288,259,16,0,1,0.148026991567352,0.436171981589367,9,"6.15384615384615 %","9.72222222222222 %"
"2020-07-13",111,101,7,1,0,0.263396518521034,NA,3,"6.86274509803922 %","8.10810810810811 %"
